procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 766080 115984 6411304    0    0    28   656   62   48  5  1 94  0  0
 2  0      0 768772 115984 6411264    0    0     0     0 1295 1397  2  2 96  0  0
 1  0      0 757252 115988 6424572    0    0     0  5052 1892 1949 20  9 71  1  0
 1  0      0 732052 115988 6437220    0    0     0   100 1380 1352 22  6 72  0  0
 1  0      0 706852 115988 6449144    0    0     0    20 1214 1130 20  8 72  0  0
 1  0      0 682408 115988 6460500    0    0     0     8 1172 1181 21  7 72  0  0
 1  0      0 658228 115988 6472088    0    0     0     0 1222 1230 21  7 72  0  0
 1  1      0 605072 115988 6515856    0    0     0 78728 2971 2008 32 11 53  4  0
 1  0      0 702288 115988 6463708    0    0     0 11472 1803 1376 20  9 70  1  0
 1  0      0 678904 115988 6475824    0    0     0     0 1259 1284 22  7 71  0  0
 1  0      0 654492 115988 6487352    0    0     0   380 1277 1150 21  7 72  0  0
 1  0      0 631812 115988 6498500    0    0     0     8 1089 1106 20  7 73  0  0
 2  0      0 597288 115988 6525348    0    0     0     0 1305 1288 24 10 66  0  0
 2  0      0 636560 115992 6491324    0    0     0 31300 1864 1468 27  9 63  2  0
 1  0      0 620952 115992 6503720    0    0  1666     0 2052 2329 22  9 69  0  0
 1  0      0 608860 115992 6515684    0    0     0    16 1085 1099 22  6 73  0  0
 1  0      0 596056 115992 6527776    0    0     0     0 1250 1184 21  6 72  0  0
 2  0      0 580964 115992 6546364    0    0  1667    16 1841 1974 22  9 68  0  0
 1  0      0 597408 115992 6521020    0    0     0 31296 1678 1299 28 10 60  2  0
 1  0      0 584052 115992 6532896    0    0     0     0 1451 1382 21  9 70  0  0
 1  0      0 572460 115992 6544460    0    0     0     0 1133 1143 22  6 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 560364 115992 6556180    0    0     0    24 1066 1105 21  7 72  0  0
 1  0      0 548776 115992 6567616    0    0     0     0 1351 1268 22  7 71  0  0
 2  0      0 555940 115992 6552964    0    0     0 31288 1785 1333 35 10 53  2  0
 2  0      0 508316 115992 6600756    0    0     0     0 1414 1237 43 11 45  0  0
 2  0      0 464972 115992 6644152    0    0     0 66116 2276 1723 38 11 46  5  0
 1  1      0 411800 115992 6695456    0    0     0 16136 1411 1174 41 11 47  1  0
 1  0      0 520896 115992 6579548    0    0     0 32048 1609 1346 22  8 69  2  0
 1  0      0 509360 115992 6590964    0    0     0   564 1437 1245 22  6 72  0  0
 1  0      0 548956 115992 6571340    0    0     0 31168 1909 1599 33 11 55  2  0
 1  0      0 537160 115992 6583456    0    0     0     0 1042 1064 20  7 72  0  0
 1  0      0 526360 115992 6595320    0    0     0     0 1129 1145 21  7 72  0  0
 1  0      0 514824 115992 6606436    0    0     0    20 1159 1128 21  7 72  0  0
 3  0      0 502260 115992 6618208    0    0     0    88 1147 1147 21  7 73  0  0
