procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1113464 111564 6012428    0    0    30   688   64   50  5  1 93  0  0
 2  0      0 1112992 111564 6012476    0    0     0   116 1203 1329  1  1 97  0  0
 1  0      0 1098636 111564 6025096    0    0     0   936 1959 2180 19 11 69  1  0
 2  0      0 1073224 111564 6037076    0    0     0     4 1287 1412 22  6 72  0  0
 1  0      0 1049548 111564 6048584    0    0     0    16 1103 1109 20  8 72  0  0
 1  0      0 1026392 111564 6059928    0    0     0     0 1215 1192 20  8 72  0  0
 2  0      0 1004220 111564 6070732    0    0     0     0 1081 1098 22  6 72  0  0
 2  1      0 955080 111564 6113188    0    0     0 16628 1624 1390 34 10 56  1  0
 1  0      0 1052204 111564 6063300    0    0     0 14680 1536 1380 21  8 70  1  0
 1  0      0 1026832 111564 6075112    0    0     0     4 1454 1401 21  8 71  0  0
 1  0      0 1002596 111564 6086848    0    0     0    24 1034 1056 21  7 72  0  0
 1  0      0 979020 111564 6098236    0    0     0   524 1134 1160 21  6 73  0  0
 2  0      0 938196 111564 6134568    0    0     0    88 1404 1281 28  9 62  0  0
 1  0      0 976820 111564 6092376    0    0   320 31272 1723 1472 23  8 67  1  0
 1  0      0 964480 111564 6104908    0    0   636     0 1249 1351 21  8 71  0  0
 1  0      0 952384 111564 6116936    0    0     0    16 1104 1142 21  6 72  0  0
 1  0      0 942116 111564 6127900    0    0     0    60 1257 1195 22  7 72  0  0
 2  0      0 925132 111568 6155468    0    0   488   316 1598 1544 27  9 64  0  0
 1  0      0 950636 111572 6121956    0    0     0 31264 1764 1494 26  9 63  1  0
 1  0      0 934040 111572 6134452    0    0    48     0 1553 1584 23  8 69  0  0
 2  0      0 921192 111572 6146860    0    0     0     4 1216 1174 20  7 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 909096 111572 6158912    0    0     0    28 1077 1107 21  7 72  0  0
 2  0      0 887172 111572 6185092    0    0     0   740 1211 1171 25  9 66  0  0
 3  0      0 857756 111572 6212120    0    0     0 31148 2023 1381 55 14 30  1  0
 1  0      0 915536 111572 6153968    0    0     0 114100 2313 1695 46 13 37  4  0
 1  0      0 903472 111572 6165284    0    0     0     8 1059 1078 21  6 73  0  0
 1  0      0 891880 111572 6176528    0    0     0   428 1168 1106 21  6 72  0  0
 1  0      0 880796 111572 6187648    0    0    64    88 1132 1114 22  5 72  0  0
 1  0      0 892432 111572 6168976    0    0     0 31216 1683 1353 32  9 57  2  0
 1  0      0 879328 111572 6181588    0    0     0     0 1033 1086 21  6 73  0  0
 1  0      0 866996 111572 6193012    0    0     0     0  978 1023 21  6 73  0  0
 1  0      0 855180 111572 6204296    0    0     0    28 1174 1170 22  6 72  0  0
 1  0      0 844092 111572 6214952    0    0     0    96 1200 1172 21  7 72  0  0
 1  1      0 806052 111572 6258180    0    0     0 31108 1546 1228 30 10 59  1  0
 1  0      0 862548 111572 6206940    0    0     0    96 1126 1263 21  7 72  0  0
 1  0      0 851208 111572 6218092    0    0     0     0 1218 1163 20  8 72  0  0
 1  0      0 840404 111572 6228456    0    0     0    60 1056 1089 21  6 72  0  0
 1  0      0 829608 111572 6239244    0    0     0   216 1095 1117 21  6 73  0  0
 1  0      0 819736 111572 6249228    0    0     0     4 1139 1088 22  6 72  0  0
 1  0      0 838224 111572 6230664    0    0     0 31296 1650 1345 34  8 56  2  0
 1  0      0 825660 111572 6242012    0    0   276     4 1054 1051 20  8 72  0  0
 1  0      0 815076 111572 6252640    0    0   688     0 1245 1230 22  7 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 804240 111572 6263316    0    0    48    16 1256 1197 22  7 71  0  0
 1  0      0 792420 111572 6274716    0    0  1666   120 1727 1990 21  8 71  0  0
 2  0      0 765708 111572 6305944    0    0    52   228 1115 1054 27 10 63  0  0
 3  0      0 740816 111572 6331092    0    0     0 30988 1870 1323 54 17 28  1  0
 2  2      0 659460 111572 6411544    0    0  1667 132024 3128 2729 51 18 21  9  0
 3  0      0 565212 111572 6505280    0    0     0   648 1397 1069 60 17 23  0  0
 4  0      0 775508 111572 6290064    0    0     0 92664 2152 1713 25  9 58  8  0
 2  0      0 759184 111572 6310264    0    0     0     8 1189 1124 24  7 69  0  0
 1  0      0 780192 111572 6283108    0    0     0 31144 1605 1268 28 10 60  2  0
 1  0      0 766840 111572 6295968    0    0     0     0 1056 1083 19  8 73  0  0
 1  0      0 754492 111572 6308392    0    0     0    32 1086 1086 20  7 72  0  0
 1  0      0 742648 111572 6320232    0    0     0    84 1150 1135 20  7 73  0  0
 2  0      0 730872 111572 6336080    0    0   728    24 1189 1121 23  8 70  0  0
 1  0      0 754072 111572 6313748    0    0     0 31180 1654 1432 31  9 59  2  0
 1  0      0 740968 111572 6326544    0    0     0     0 1009 1034 20  7 72  0  0
 1  0      0 728620 111572 6338668    0    0     0     0 1007 1047 21  7 73  0  0
 1  0      0 716776 111572 6350344    0    0     0    80 1162 1110 21  7 72  0  0
 2  0      0 704428 111572 6363096    0    0     0    16 1045 1073 22  6 72  0  0
 1  0      0 729900 111576 6344684    0    0     0 31108 1638 1306 31  9 58  2  0
 1  0      0 717836 111580 6356728    0    0     0   428 1138 1154 21  7 72  0  0
 1  0      0 706276 111580 6368296    0    0     0    20 1158 1134 22  6 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 693436 111580 6379288    0    0     0     0 1323 1278 22  8 71  0  0
 1  0      0 682348 111580 6389616    0    0     0    92 1106 1106 22  6 72  0  0
 3  0      0 695728 111580 6371572    0    0     0 31168 1633 1260 34 10 54  2  0
 3  0      0 606828 111580 6467068    0    0     0     0 1436 1099 63 15 22  0  0
 3  0      0 529508 111580 6541988    0    0   828 132072 2677 1934 51 15 22 12  0
 3  0      0 437780 111580 6631916    0    0   976     0 1407 1094 63 14 22  0  0
 3  0      0 360192 111580 6711160    0    0     0 132536 2799 1954 52 14 21 12  0
 2  0      0 650240 111580 6416200    0    0     0 66088 1871 1547 38 14 43  4  0
 1  0      0 674444 111580 6391988    0    0   132 31024 1470 1267 32  9 57  2  0
