procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1809340 111208 5322760    0    0    30   751   67   52  5  1 93  0  0
 3  0      0 1808864 111208 5322756    0    0    36     0  897 1127  1  1 98  0  0
 1  0      0 1781900 111224 5334232    0    0     0  1396 1859 1932 19  9 71  0  0
 1  0      0 1758716 111224 5345968    0    0   928     0 1455 1498 21  9 70  0  0
 1  0      0 1736792 111224 5356544    0    0     0     0 1187 1211 21  7 72  0  0
 1  0      0 1716128 111224 5366228    0    0   756    24 1327 1263 22  7 71  1  0
 2  0      0 1694960 111224 5376272    0    0     0   584 1322 1226 21  7 71  0  0
 2  0      0 1665228 111224 5391388    0    0     0   508 1356 1328 23  8 68  0  0
 1  0      0 1733248 111224 5366880    0    0  1404 31052 1692 1616 30 11 57  2  0
 1  0      0 1716240 111224 5377188    0    0     0    12 1258 1204 22  7 72  0  0
 1  0      0 1696536 111224 5387068    0    0  1008    24 1239 1236 20  8 72  0  0
 1  0      0 1675984 111224 5397308    0    0    44     0 1083 1100 21  7 72  0  0
 1  0      0 1659204 111224 5406436    0    0    44   144 1226 1217 22  7 71  0  0
 2  0      0 1639032 111224 5417208    0    0     0   480 1258 1205 21  9 70  0  0
 1  0      0 1657732 111228 5396404    0    0     0 31064 1401 1302 33 10 56  2  0
 1  0      0 1647692 111228 5407088    0    0     0     0 1119 1144 19  8 72  0  0
 1  0      0 1638908 111228 5417848    0    0     0    20 1177 1165 22  6 72  0  0
 1  0      0 1628072 111228 5428560    0    0     0    60 1146 1139 19  8 72  0  0
 1  0      0 1616736 111228 5439500    0    0     0     0 1104 1134 22  6 73  0  0
 2  0      0 1591796 111228 5467008    0    0   540   172 1231 1169 28  8 65  0  0
 1  0      0 1618828 111228 5432000    0    0     0 31024 1302 1305 25  9 65  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1606904 111228 5443428    0    0     0    24 1207 1179 22  6 72  0  0
 1  0      0 1596180 111228 5453744    0    0     0     0 1101 1093 21  7 72  0  0
 1  0      0 1585848 111228 5463760    0    0     0     0 1088 1111 22  6 72  0  0
 1  0      0 1574256 111228 5474732    0    0     0     0 1057 1066 20  7 73  0  0
 3  0      0 1594968 111232 5456408    0    0     0 31200 1590 1366 36 10 52  2  0
 3  0      0 1520632 111232 5537872    0    0     0   388 1558 1126 62 16 23  0  0
 1  0      0 1597536 111236 5466716    0    0     0 114280 2251 1662 41 14 40  5  0
 1  0      0 1585724 111236 5477672    0    0     0   372 1284 1210 23  7 70  0  0
 1  0      0 1574384 111236 5488580    0    0     0     0 1273 1176 21  7 72  0  0
 2  0      0 1560536 111236 5505360    0    0     0     0 1141 1128 22  8 70  0  0
 1  0      0 1585252 111236 5481808    0    0     0 31132 1379 1370 30  9 60  2  0
 1  0      0 1573444 111236 5493760    0    0     0    24 1111 1142 20  7 73  0  0
 1  0      0 1562824 111236 5504864    0    0     0     0 1190 1099 21  7 72  0  0
 2  0      0 1551844 111236 5515576    0    0     0   192 1186 1146 20  7 72  0  0
 2  0      0 1542048 111236 5525840    0    0     0     0 1090 1118 21  6 73  0  0
 1  1      0 1499212 111240 5568076    0    0     4  2360 1189 1078 32 10 58  0  0
 2  0      0 1544868 111240 5517232    0    0     0 28964 1367 1325 21  8 69  2  0
 1  0      0 1532552 111240 5528540    0    0     0    28 1052 1025 19  8 72  0  0
 1  0      0 1521464 111240 5539028    0    0     0   172 1112 1118 22  5 73  0  0
 1  0      0 1510376 111240 5549876    0    0     0     0 1070 1019 20  7 72  0  0
 2  0      0 1498784 111240 5561064    0    0     0     0 1148 1139 21  7 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1529580 111240 5541948    0    0     0 31148 1360 1293 32 10 56  2  0
 2  0      0 1516988 111240 5553600    0    0     0    68 1077 1082 20  7 73  0  0
 1  0      0 1506180 111240 5563960    0    0     0     8 1023 1058 21  6 72  0  0
 1  0      0 1498120 111240 5574420    0    0     0     0 1229 1163 21  7 72  0  0
 1  0      0 1488076 111240 5584444    0    0     0   172 1319 1334 22  7 70  0  0
 2  0      0 1464672 111240 5609772    0    0     0   192 1312 1237 27  9 65  0  0
 5  0      0 1431204 111240 5640236    0    0     0 31204 1558 1279 63 15 20  2  0
 4  0      0 1296416 111240 5770648    0    0     0 36728 1754 1314 82 15  1  1  0
 1  0      0 1477728 111240 5578888    0    0     0 187236 3771 2202 37 14 38 10  0
 2  0      0 1476216 111240 5589352    0    0     0     0 1119 1131 20  8 72  0  0
 1  0      0 1467648 111240 5599292    0    0     0   592 1127 1113 21  7 72  0  0
 1  0      0 1458072 111240 5608880    0    0     0    24 1188 1168 21  7 72  0  0
 1  0      0 1484452 111240 5589004    0    0     0 31264 1736 1261 32 11 55  2  0
 1  0      0 1473868 111240 5599416    0    0     0    84 1122 1136 21  7 72  0  0
 1  0      0 1460804 111240 5609680    0    0  1171     0 1567 1744 22  7 71  0  0
 1  0      0 1450992 111240 5619460    0    0   495    20 1436 1467 22  7 71  0  0
 1  0      0 1441416 111240 5628964    0    0     0     0 1103 1065 21  7 72  0  0
 1  0      0 1432092 111240 5638316    0    0     0   180 1056 1083 22  6 72  0  0
 1  0      0 1441940 111240 5617836    0    0  1171 31088 1828 1935 35 10 53  2  0
 1  0      0 1429132 111240 5628052    0    0   496     4 1454 1502 22  7 71  0  0
 1  0      0 1418044 111240 5639048    0    0     0   248 1167 1120 21  7 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 1406708 111240 5650228    0    0     0     0 1100 1129 22  6 73  0  0
 1  0      0 1396124 111240 5660736    0    0     0    24 1070 1067 21  6 72  0  0
 3  0      0 1385540 111240 5672036    0    0     0   216 1280 1229 21  7 71  0  0
 4  0      0 1415800 111240 5651936    0    0     0 31076 1325 1210 32  9 57  2  0
 1  0      0 1404964 111240 5662612    0    0     0   220 1132 1112 19  9 73  0  0
 1  0      0 1395136 111240 5672152    0    0     0     4 1200 1145 23  6 71  0  0
 1  0      0 1384080 111240 5682448    0    0     0     0 1111 1154 22  6 72  0  0
 1  0      0 1372992 111240 5692984    0    0     0     0 1167 1150 22  7 71  0  0
 2  0      0 1354344 111240 5713348    0    0     0   160 1228 1239 24  8 68  0  0
 7  0      0 1325636 111240 5732596    0    0     0 31052 1617 1349 59 14 25  1  0
 7  0      0 1213244 111244 5850088    0    0     0 15720 1913 1365 83 17  0  0  0
 4  1      0 1094048 111244 5965376    0    0     0 104020 2829 1512 79 18  0  3  0
 2  0      0 1110924 111244 5942336    0    0     0 210608 3975 2642 55 17  3 26  0
 1  0      0 1352404 111244 5694768    0    0     0   132 1265 1180 20  9 70  0  0
 1  0      0 1340560 111244 5706164    0    0     0   456 1182 1147 21  7 72  0  0
 2  0      0 1326700 111244 5725524    0    0     0   224 1210 1094 25  7 68  0  0
 1  0      0 1357512 111244 5698128    0    0     0 31288 1643 1286 29 10 60  1  0
 1  0      0 1345476 111244 5710052    0    0     0     0 1246 1187 20  8 72  0  0
 1  0      0 1333884 111244 5721124    0    0     0     0 1151 1160 20  7 72  0  0
 1  0      0 1322544 111244 5732084    0    0     0    24 1094 1101 21  7 73  0  0
 1  0      0 1311960 111244 5742524    0    0     0     0 1170 1193 20  7 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1326800 111244 5726208    0    0     0 31392 1809 1401 33 10 55  2  0
 1  0      0 1313996 111244 5734400    0    0     0   208 1175 1175 20  7 73  0  0
 1  0      0 1302908 111244 5745044    0    0     0     0 1207 1172 20  9 72  0  0
 1  0      0 1291344 111244 5756252    0    0     0    36 1197 1159 21  7 72  0  0
 1  0      0 1280508 111244 5766636    0    0     0     0 1172 1160 22  6 72  0  0
 2  0      0 1269420 111244 5778492    0    0     0   168 1132 1191 22  6 72  0  0
 1  0      0 1293900 111244 5758560    0    0     0 31172 1804 1434 31 10 57  2  0
 1  0      0 1282056 111244 5770256    0    0     0     8 1228 1156 21  7 72  0  0
 1  0      0 1270240 111244 5781696    0    0     0    24 1171 1132 20  8 72  0  0
 1  0      0 1259152 111244 5792712    0    0     0    12 1184 1222 22  6 72  0  0
 1  0      0 1247564 111244 5804120    0    0     0     0 1223 1195 22  6 72  0  0
 1  1      0 1207752 111244 5846300    0    0     0 25044 1521 1210 33  9 57  1  0
 4  0      0 1158136 111244 5907460    0    0     0  9840 1760 1242 78 20  1  1  0
 2  0      0 1092868 111244 5962120    0    0     0 195840 3324 2142 66 17  6 11  0
 1  0      0 1249492 111244 5812520    0    0     0   456 1270 1202 22  7 71  0  0
