procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1073236 111636 5993248    0    0     0     0 1088 1117 22  6 71  0  0
 1  0      0 1064668 111636 6001988    0    0     0    28 1177 1116 22  7 71  0  0
 1  0      0 1055344 111636 6011048    0    0     0   248 1108 1138 20  8 72  0  0
 2  0      0 1018300 111636 6046468    0    0     0   348 1352 1173 34  8 58  0  0
 1  0      0 1058908 111636 5999716    0    0     0 31160 1547 1460 23  9 66  3  0
 1  0      0 1049084 111636 6009360    0    0     0     0 1066 1060 21  7 72  0  0
 1  0      0 1039508 111636 6018432    0    0     0    16 1390 1285 22  7 71  0  0
 1  0      0 1030464 111636 6027152    0    0     0     4 1064 1041 20  8 72  0  0
 1  0      0 1021644 111636 6035904    0    0     0   300 1156 1139 20  8 72  0  0
 1  0      0 1012824 111636 6044864    0    0     0   184 1233 1131 22  6 71  0  0
 7  0      0 1026708 111636 6041988    0    0     0 31080 1749 1377 44 12 42  2  0
 7  0      0 921652 111636 6148992    0    0     0 15276 1817 1232 81 16  3  0  0
 6  0      0 806768 111644 6260552    0    0     0 63372 2296 1508 79 19  0  2  0
 3  0      0 711512 111644 6354712    0    0     0 126836 2809 1711 78 18  1  3  0
 2  0      0 1025164 111644 6034640    0    0     0 125712 2543 1942 31 11 48 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1018136 111644 6045032    0    0     0     0 1234 1135 22  6 72  0  0
 1  0      0 1008812 111644 6054608    0    0     0     0 1115 1112 22  5 72  0  0
 2  0      0 967748 111644 6090484    0    0     0    16 1226 1113 30 11 60  0  0
 1  0      0 1002572 111652 6044236    0    0     0 31140 1564 1324 23  8 67  2  0
 2  0      0 999548 111652 6054436    0    0     0   208 1086 1055 20  8 72  0  0
 1  0      0 987708 111652 6064748    0    0     0     0 1120 1128 22  6 72  0  0
 1  0      0 976872 111652 6074476    0    0     0     0 1214 1113 23  6 71  0  0
 1  0      0 966792 111652 6083748    0    0     0     0 1179 1170 21  7 72  0  0
 2  0      0 942096 111660 6108124    0    0     0   692 1349 1186 27  8 65  0  0
 1  0      0 971380 111668 6073772    0    0     0 31112 1366 1353 29  7 61  2  0
 1  0      0 960292 111668 6084860    0    0     0   300 1215 1158 21  7 72  0  0
 1  0      0 948952 111668 6096044    0    0     0     0 1242 1207 21  8 72  0  0
 1  0      0 938872 111668 6106080    0    0     0     0 1068 1034 22  5 72  0  0
 1  0      0 927784 111668 6117040    0    0     0   144 1098 1086 20  8 72  0  0
 1  0      0 953452 111668 6097396    0    0     0 31268 1548 1404 31 10 57  2  0
 1  0      0 941180 111668 6108932    0    0     0     8 1024 1042 21  6 73  0  0
 1  0      0 929628 111668 6119900    0    0     0     0 1021  993 22  6 72  0  0
 1  0      0 919548 111668 6130076    0    0     0     0 1188 1104 21  7 71  0  0
 1  0      0 909972 111668 6139608    0    0     0   128 1038 1034 21  7 72  0  0
 1  0      0 898384 111668 6150416    0    0     0   220 1250 1151 21  8 71  0  0
 3  0      0 854032 111668 6191464    0    0     0 31388 1458 1327 36  9 52  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 807928 111668 6235092    0    0     0  3136 1593 1185 80 19  0  0  0
 3  1      0 711164 111668 6338488    0    0     0 111612 2297 1515 77 17  1  5  0
 1  0      0 889448 111668 6155088    0    0     0 84968 2339 1730 24 10 61  5  0
 1  0      0 880376 111668 6164264    0    0     0   116 1124 1074 22  6 72  0  0
 1  0      0 869792 111668 6173420    0    0     0     0 1242 1162 21  7 71  0  0
 2  0      0 844856 111668 6202252    0    0  2602   196 1937 2114 30  7 62  0  0
 1  0      0 894676 111668 6162084    0    0   480 31292 1401 1362 29  8 61  3  0
 1  0      0 883868 111668 6172120    0    0     0    24 1335 1264 22  7 71  0  0
 2  0      0 873032 111668 6182576    0    0     0   104 1142 1166 21  6 72  0  0
 3  0      0 863468 111668 6191836    0    0  1211     4 1572 1694 21  8 71  0  0
 1  0      0 853892 111668 6201320    0    0   564     0 1293 1336 23  6 70  0  0
 2  0      0 841292 111668 6213264    0    0     0   508 1281 1182 23  6 70  0  0
 1  0      0 857944 111668 6190912    0    0     0 31076 1651 1377 32 11 55  2  0
 1  0      0 847892 111668 6200732    0    0     0    84 1173 1133 20  8 72  0  0
 1  0      0 838064 111668 6210348    0    0     0    32 1261 1200 20  8 71  0  0
 2  0      0 827480 111668 6221104    0    0     0     0 1100 1032 20  8 72  0  0
 1  0      0 817148 111668 6231464    0    0     0   232 1144 1087 20  7 72  0  0
 1  0      0 807572 111668 6240924    0    0   648   208 1168 1132 23  6 71  0  0
 1  0      0 839868 111668 6220908    0    0   352 31208 1731 1278 36 10 53  2  0
 1  0      0 828556 111668 6231492    0    0     0   136 1047 1051 21  6 73  0  0
 1  0      0 816472 111668 6242264    0    0   852     0 1121 1066 20  8 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 805384 111668 6252944    0    0  1448     0 1328 1162 22  7 71  0  0
 1  0      0 794548 111668 6263744    0    0     0   220 1062 1091 22  5 72  0  0
 7  0      0 776156 111668 6282520    0    0     0    92 1283 1125 25  7 68  0  0
 7  0      0 747220 111668 6315656    0    0   764 31196 1900 1360 61 14 23  2  0
 7  0      0 616216 111668 6447388    0    0   180    16 1444 1085 82 17  1  0  0
 3  2      0 498564 111672 6557844    0    0     0 209684 4434 2412 78 17  1  4  0
 1  0      0 789492 111672 6267408    0    0     0 106336 2349 1836 34 11 51  5  0
 1  0      0 777900 111672 6277776    0    0     0    16 1255 1165 22  7 71  0  0
 2  0      0 766336 111672 6287164    0    0     0    88 1239 1180 22  6 72  0  0
 2  0      0 750976 111672 6300860    0    0    36    32 1377 1303 24  7 69  0  0
 1  0      0 774996 111672 6276548    0    0     0 31228 1557 1390 34  8 56  2  0
 1  0      0 764196 111672 6287188    0    0   240     0 1193 1202 21  7 72  0  0
 1  0      0 752392 111672 6298048    0    0   536   440 1237 1145 21  7 72  0  0
 1  0      0 740080 111672 6309316    0    0     0    88 1392 1320 22  6 72  0  0
 1  0      0 729252 111672 6319000    0    0     0     0 1110 1080 21  6 72  0  0
 5  0      0 713628 111672 6338256    0    0   568   252 1264 1186 26  7 66  0  0
 1  0      0 734844 111672 6308472    0    0     0 31128 1476 1370 29 11 59  2  0
 1  0      0 722748 111672 6319788    0    0     0   300 1131 1090 20  7 72  0  0
 1  0      0 711412 111672 6329940    0    0     0   352 1206 1192 21  7 72  0  0
 1  0      0 701836 111672 6338804    0    0     0     0 1172 1136 23  6 71  0  0
 1  0      0 692008 111672 6348196    0    0     0    24 1055 1083 21  6 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 682936 111672 6357248    0    0     0   292 1102 1146 22  6 72  0  0
 1  0      0 702644 111672 6336116    0    0     0 31064 1483 1291 36 11 50  3  0
 2  0      0 690584 111672 6346672    0    0   532   412 1102 1105 22  6 72  0  0
 3  0      0 679244 111672 6357600    0    0     0     0 1046 1053 20  8 72  0  0
 1  0      0 669924 111672 6368068    0    0     0     8 1231 1172 21  8 72  0  0
 1  0      0 659592 111672 6378324    0    0     0    24 1041 1047 21  7 72  0  0
 1  0      0 649516 111672 6387868    0    0     0   220 1124 1118 22  7 72  0  0
 7  0      0 659640 111672 6396840    0    0     0 31152 1930 1368 51 11 36  2  0
 6  0      0 536928 111672 6518220    0    0     0   204 1509 1154 84 15  1  0  0
 4  1      0 428632 111672 6631624    0    0     0 45484 1732 1317 80 18  0  2  0
 2  0      0 673000 111672 6381012    0    0     0 253792 3145 2305 46 16 29 10  0
 2  0      0 623980 111672 6432312    0    0     0   332 1368 1131 41 12 47  0  0
 2  0      0 578396 111672 6478140    0    0     0 66284 2157 1470 40 11 46  3  0
 1  0      0 673500 111672 6396716    0    0     0 51996 1956 1377 37 12 48  3  0
 2  0      0 643796 111672 6422184    0    0     0   300 1274 1163 28  8 64  0  0
 2  0      0 667816 111672 6385272    0    0     0 31124 1562 1434 29  9 59  3  0
 1  0      0 657232 111672 6395188    0    0     0    52 1059 1066 21  7 72  0  0
