procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 1127488 111284 5949216    0    0     0     0 1437 1002 77 18  0  0  4
 5  0      0 1060708 111284 6012508    0    0     0     0 1682 1194 73 17  7  0  2
 4  2      0 1005016 111284 6064672    0    0     0 140060 2429 1611 66 19  4 10  1
 4  0      0 945292 111284 6123100    0    0     0 139844 3036 2097 58 15  7 20  0
 1  0      0 1276924 111284 5793848    0    0     0 50560 1915 1643 25 10 61  3  0
 1  0      0 1265096 111284 5804136    0    0     0    16 1148 1111 22  6 72  0  0
 2  0      0 1239392 111284 5828812    0    0     0     0 1138 1102 28  7 66  0  0
 1  0      0 1259516 111284 5796480    0    0     0 31472 1804 1401 26  9 62  3  0
 1  0      0 1248680 111284 5806756    0    0     0    12 1251 1274 21  7 72  0  0
 1  0      0 1231312 111284 5817256    0    0     0   468 2505 2673 26 10 64  0  0
 1  0      0 1221056 111284 5827064    0    0     0    24 1526 1537 23  6 71  0  0
 1  0      0 1210976 111284 5836492    0    0     0     0 1441 1548 22  9 70  0  0
 2  0      0 1193724 111284 5864220    0    0     0    16 1495 1512 29  9 62  0  0
 3  0      0 1231504 111284 5826604    0    0     0 31172 1908 1620 27  8 63  2  0
 1  0      0 1220756 111296 5837184    0    0     4   224 1701 1730 23 10 67  0  0
 1  0      0 1209196 111296 5848048    0    0   904     0 1403 1427 22  8 70  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1196924 111296 5858592    0    0    28    28 1519 1482 23  8 69  0  0
 1  0      0 1186120 111296 5869572    0    0   484   292 1576 1715 21  7 71  1  0
 1  1      0 1144852 111296 5912316    0    0     0 11856 1351 1193 32  9 59  1  0
 1  0      0 1188752 111296 5861708    0    0     0 20320 1595 1507 22  8 69  1  0
 1  0      0 1178204 111296 5872344    0    0     0     0 1293 1253 21  7 72  0  0
 1  0      0 1168100 111296 5882132    0    0     0    20 1204 1191 20  7 72  0  0
 1  0      0 1158132 111296 5892188    0    0     0   352 1237 1166 22  6 72  0  0
 1  0      0 1148308 111296 5902524    0    0     0   584 1259 1210 22  6 72  0  0
 8  0      0 1171304 111296 5884068    0    0     0 31280 1803 1522 38 11 50  2  0
 5  0      0 1086360 111296 5991572    0    0     0     4 1674 1249 80 18  1  0  0
 5  0      0 970440 111300 6099992    0    0     4   220 1629 1338 82 17  1  0  0
 2  1      0 889308 111300 6178640    0    0     0 253852 5055 2751 54 17 11 18  0
 1  0      0 1136188 111300 5912460    0    0     0 29028 1877 1559 28 11 59  1  0
 1  0      0 1134356 111300 5922500    0    0     0   256 1523 1492 23  7 70  0  0
 2  0      0 1118228 111300 5936156    0    0     0     0 1179 1195 23  7 70  0  0
 3  0      0 1133040 111300 5913088    0    0     0 31084 1615 1331 33  8 57  2  0
 1  0      0 1121700 111300 5924492    0    0     0   496 1223 1129 21  7 72  0  0
 1  0      0 1110612 111300 5935276    0    0     0     0 1126 1148 22  6 72  0  0
 1  0      0 1099020 111300 5946652    0    0     0     0 1069 1109 20  7 72  0  0
 1  0      0 1087948 111300 5957288    0    0     0   216 1111 1093 22  5 73  0  0
 1  1      0 1048420 111304 6000900    0    0     0  4528 1233 1142 31 10 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1097864 111304 5950576    0    0     0 26760 1619 1283 22  6 70  1  0
 1  0      0 1085528 111304 5961996    0    0  1666    40 1850 2093 22  7 71  0  0
 1  0      0 1074952 111304 5973164    0    0     0     0 1065 1080 22  6 72  0  0
 1  0      0 1064148 111304 5984320    0    0     0   304 1214 1118 22  6 72  0  0
 2  0      0 1046048 111304 6001672    0    0  1171     0 1651 1883 25  8 67  0  0
 1  0      0 1064004 111304 5976008    0    0   496 31192 1687 1420 31 10 58  1  0
 1  0      0 1052664 111304 5987308    0    0     0   332 1172 1138 20  7 73  0  0
 1  0      0 1041072 111304 5998580    0    0     0     0 1167 1093 21  8 72  0  0
 2  0      0 1030488 111304 6009324    0    0   536    80 1118 1104 22  6 72  0  0
 1  0      0 1019904 111304 6019632    0    0     0   176 1126 1114 21  6 73  0  0
 2  0      0 984876 111304 6062480    0    0     0  3536 1220 1115 31 10 59  0  0
 4  0      0 959980 111304 6111960    0    0     0 27908 1957 1198 77 19  3  1  0
 3  0      0 856620 111308 6198948    0    0     0 192408 3757 2291 69 16  9  7  0
 1  0      0 1041252 111308 6028152    0    0     0     0  994 1059 22  7 71  0  0
 2  0      0 1030920 111308 6038216    0    0     0     0 1002 1113 21  7 72  0  0
 1  0      0 1019608 111308 6049028    0    0     0   272 1212 1136 21  7 72  0  0
 1  0      0 1019376 111308 6029608    0    0     0 31520 1615 1332 30 12 57  1  0
 1  0      0 1006804 111308 6041732    0    0     0    36 1013 1074 21  6 73  0  0
 1  0      0 994204 111308 6053640    0    0   160     0 1073 1174 20  8 72  0  0
 1  0      0 981104 111308 6065512    0    0     0     0 1125 1121 21  7 72  0  0
 2  0      0 969036 111308 6077112    0    0     0     0  984 1102 21  6 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 936780 111308 6112324    0    0     0   392 1184 1089 31  7 61  0  0
 1  0      0 980604 111308 6070332    0    0     0 30996 1496 1328 24  7 67  2  0
 1  0      0 968036 111308 6082436    0    0     0    24 1107 1069 22  6 72  0  0
 1  0      0 956192 111308 6093880    0    0     0     0 1075 1159 21  6 72  0  0
 1  0      0 944132 111308 6105456    0    0     0     0 1038 1052 22  6 73  0  0
 3  0      0 926004 111308 6130640    0    0     0    12 1167 1123 25  8 66  0  0
 1  0      0 952176 111308 6098252    0    0     0 31084 1609 1308 27  9 62  1  0
 2  0      0 941088 111308 6109356    0    0     0    28 1070 1124 20  8 72  0  0
 2  0      0 929496 111308 6120504    0    0     0     4 1032 1049 20  7 73  0  0
 5  0      0 917684 111308 6131536    0    0     0     4 1089 1078 20  7 73  0  0
 2  0      0 905840 111308 6143176    0    0     0   328 1259 1189 22  6 72  0  0
 6  0      0 912760 111308 6153324    0    0     0 31480 1827 1438 47 11 40  1  0
 6  0      0 769880 111308 6295472    0    0   824     0 1524 1071 78 17  5  0  0
 4  1      0 628788 111316 6432020    0    0     0 124488 3285 1736 77 17  4  2  0
 5  0      0 891384 111316 6168716    0    0   156 183324 4275 2414 40 14 40  7  0
 3  0      0 834940 111316 6223996    0    0     0 32068 1761 1334 40 11 46  2  0
 3  0      0 780036 111316 6278956    0    0     0 34404 1800 1311 39 12 47  2  0
 3  0      0 750548 111316 6316860    0    0     0 90564 2350 1600 38 11 47  4  0
 2  0      0 914092 111316 6150076    0    0     0   204 1090 1082 19  8 72  0  0
 3  0      0 901520 111316 6162168    0    0     0     0  982 1047 21  7 72  0  0
 3  0      0 889676 111316 6173720    0    0     0     8 1044 1080 21  7 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 877360 111316 6185076    0    0     0    20 1130 1132 21  7 72  0  0
 5  0      0 842332 111316 6220492    0    0   852   492 1158 1095 29  9 62  0  0
 2  0      0 894828 111316 6178544    0    0     0 30956 1483 1301 24  7 68  1  0
 2  0      0 882760 111316 6190320    0    0     0    24 1142 1107 22  6 72  0  0
 2  0      0 870412 111316 6201860    0    0     0    12 1146 1158 20  8 72  0  0
 2  0      0 858320 111316 6213656    0    0     0   288 1065 1087 21  7 72  0  0
 3  0      0 833624 111316 6233904    0    0     0     0 1064 1055 24  8 68  0  0
 2  0      0 854712 111316 6206028    0    0     0 31348 1796 1349 29  9 61  1  0
 2  0      0 842616 111316 6218108    0    0     0     0 1052 1059 21  7 72  0  0
 2  0      0 830296 111316 6230048    0    0     0    24 1010 1051 20  7 73  0  0
 2  0      0 817728 111316 6241848    0    0     0   160 1024 1086 20  7 73  0  0
 2  0      0 806388 111316 6252932    0    0     0     8 1096 1064 21  7 72  0  0
 9  0      0 802176 111316 6277388    0    0     0 31360 1738 1359 53 15 32  1  0
11  0      0 681248 111316 6397892    0    0     0     0 1438 1063 81 19  1  0  0
 7  0      0 547688 111316 6527296    0    0     0 115420 3525 1788 79 17  1  3  0
 4  0      0 807516 111316 6255924    0    0     0 235956 5210 2534 55 19 16 10  0
 2  1      0 753100 111316 6310276    0    0   896 36872 1684 1227 41 11 47  2  0
 3  0      0 750432 111320 6312992    0    0    92 10944 1445 1191 42 10 47  1  0
 3  0      0 718368 111320 6327488    0    0     0 97176 2947 1753 51 14 31  3  0
 3  0      0 795280 111320 6245000    0    0   547 53820 2291 1627 39 12 47  3  0
 2  0      0 783320 111320 6256404    0    0  1707   396 1590 1711 23  6 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 771980 111320 6267908    0    0     0     0  957 1013 23  4 73  0  0
 3  0      0 759916 111320 6278996    0    0   476     0 1193 1180 21  8 72  0  0
 3  0      0 738512 111320 6297968    0    0  2423    92 1905 2071 25  7 67  1  0
 3  0      0 768096 111320 6270868    0    0   964 31420 1340 1260 29  9 60  2  0
 4  0      0 757036 111320 6281884    0    0    60   104 1100 1108 22  6 72  0  0
 4  0      0 744468 111320 6293448    0    0     0     4 1051 1051 21  6 72  0  0
 3  0      0 732372 111320 6305608    0    0     0     0 1002 1051 21  7 72  0  0
 3  0      0 720780 111320 6316964    0    0    80    88  987 1047 21  7 73  0  0
 3  0      0 749504 111320 6299224    0    0  1356 31352 1457 1297 32  9 57  2  0
 3  0      0 737440 111320 6311080    0    0    88    20 1122 1094 21  7 72  0  0
 2  0      0 725692 111320 6322648    0    0     0   296 1037 1035 20  7 72  0  0
 2  0      0 713256 111320 6334432    0    0     0     0 1046 1083 21  6 73  0  0
 2  0      0 702196 111320 6345412    0    0     0    84 1162 1095 22  7 72  0  0
 4  0      0 656332 111320 6386940    0    0     0   280 1168 1057 34  7 58  0  0
10  0      0 609300 111320 6456196    0    0     0 30992 1886 1311 77 20  3  1  0
 8  0      0 456628 111320 6600204    0    0     0 48404 2392 1384 82 17  0  1  0
 4  1      0 327856 111320 6724596    0    0     0 229088 4002 2205 72 17  0 10  0
 3  0      0 662344 111328 6393628    0    0     0 89360 2870 2253 38 12 42  8  0
 3  0      0 610684 111328 6444760    0    0     0 66208 2002 1384 37 13 47  3  0
 5  0      0 539872 111328 6515296    0    0     0   296 1321 1169 46 12 41  0  0
 4  0      0 689828 111328 6361048    0    0     0 107248 3176 1960 44 13 38  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
