procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2927704 131616 12533588    0    0    26  1646  166  149 13  3 82  1  1
 1  0      0 2926876 131616 12533372    0    0     0     0 1058 1194  1  1 99  0  0
 1  0      0 2904004 131660 12543268    0    0     0  1452 2236 2108 11  4 85  1  0
 1  0      0 2882880 131660 12551696    0    0     0     0 1809 1582 13  5 82  0  1
 1  0      0 2861964 131660 12561304    0    0     0   200 1478 1206 11  4 85  0  0
 1  0      0 2846848 131660 12568480    0    0     0    32 1348 1152 10  5 85  0  0
 1  0      0 2834752 131660 12574588    0    0     0     0 1077  948 10  5 85  0  0
 1  0      0 2817364 131660 12583040    0    0     0    96 1069  927 10  4 85  0  0
 1  0      0 2801740 131660 12590776    0    0     0     0 1068  977 10  5 86  0  0
 2  0      0 2767720 131660 12615140    0    0     0     0 1145  944 13  6 82  0  0
 1  0      0 2861824 131664 12576428    0    0     0 30928 1731 1116 13  7 77  3  1
 1  0      0 2847716 131672 12583064    0    0     0    60 1082  941  9  6 86  0  0
 1  0      0 2832372 131672 12590712    0    0     0     0 1049  923 10  5 85  0  0
 1  0      0 2812484 131680 12600412    0    0     0   156 1113  990 11  3 86  0  0
 1  0      0 2794132 131680 12609112    0    0     0     0 1034  902 11  3 86  0  0
 1  0      0 2780532 131680 12615940    0    0     0     0 1131 1026 10  4 86  0  0
 1  0      0 2760208 131680 12623028    0    0  2214   192 2280 2310  9  5 84  0  1
 2  0      0 2740352 131680 12640400    0    0  1119     0 1706 1548 12  6 81  0  1
 1  0      0 2771972 131688 12606724    0    0     0 30948 1670 1090 14  7 77  2  0
 1  0      0 2762400 131688 12616172    0    0     0     0 1117  935 10  5 85  0  0
 1  0      0 2753108 131688 12625060    0    0     0     0 1142  958  9  5 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2744048 131688 12633908    0    0     0    56 1090  934 10  4 86  0  0
 1  0      0 2735512 131688 12642268    0    0     0     0 1113  965 10  5 86  0  0
 1  0      0 2726736 131688 12651044    0    0     0     0 1149  964 12  3 86  0  0
 1  0      0 2717160 131688 12659360    0    0     0     0 1133  939 10  4 86  0  1
 1  0      0 2731356 131700 12637880    0    0     0 31048 1639 1197 18  5 75  1  1
 1  0      0 2720776 131700 12647648    0    0     0     0 1104  950 11  3 86  0  0
 1  0      0 2711452 131700 12657304    0    0     0     0 1049  883 11  3 86  0  0
 1  0      0 2701876 131700 12666328    0    0     0     0 1117  978 10  3 86  0  0
 1  0      0 2691552 131700 12675796    0    0     0     0 1065  926 10  4 86  0  0
 1  0      0 2682256 131700 12685352    0    0     0    40 1027  950 11  3 86  0  0
 2  0      0 2657560 131700 12710164    0    0     0     0 1117  909 14  4 82  0  0
 2  0      0 2680384 131708 12690208    0    0     0 30964 1603 1146 19  6 73  2  0
 2  0      0 2634044 131708 12733652    0    0     0     0 1268  908 21  5 74  0  0
 2  0      0 2601596 131712 12769904    0    0     0 66020 1728 1175 18  6 73  3  0
 1  1      0 2553716 131712 12816616    0    0     0  6148 1316  922 20  6 74  0  0
 3  0      0 2668624 131724 12699688    0    0     0 41920 1403 1165 10  4 84  2  0
 1  0      0 2659048 131724 12709956    0    0     0   148 1055  902 11  3 86  0  0
 1  0      0 2688948 131728 12690440    0    0     0 30996 1643 1095 16  5 78  1  0
 1  0      0 2679136 131728 12701252    0    0     0     0 1055  901 11  3 86  0  0
 1  0      0 2667824 131728 12711544    0    0     0     0 1034  943 11  3 86  0  0
 2  0      0 2658508 131728 12721560    0    0     0   144 1120  901 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2647924 131728 12732204    0    0     0     0 1058  938 11  3 86  0  0
 1  0      0 2637868 131728 12742568    0    0     0   120 1094  943 10  3 86  0  0
 2  0      0 2651172 131748 12722104    0    0     0 30956 1729 1170 16  6 77  1  0
 1  0      0 2640136 131748 12732412    0    0     0     0 1042  911 10  3 86  0  0
 1  0      0 2630100 131748 12743228    0    0     0     0 1054  913 11  3 86  0  0
 1  0      0 2619028 131748 12754096    0    0     0     0 1011  895 10  3 86  0  0
 1  0      0 2608684 131748 12763972    0    0     0     0 1073  965 11  3 86  0  0
 1  0      0 2598100 131752 12774524    0    0     0   124 1085  921 10  3 86  0  0
 1  0      0 2617668 131764 12754796    0    0     0 30956 1689 1155 17  5 77  1  0
 1  0      0 2605328 131764 12765956    0    0     0     0 1024  886 11  3 86  0  0
 1  0      0 2594300 131764 12776472    0    0     0    32 1118  979 10  4 86  0  0
 1  0      0 2583744 131764 12786564    0    0     0     0 1045  916 11  3 86  0  0
 1  0      0 2574924 131764 12796076    0    0     0     0 1045  894 11  3 86  0  0
 1  0      0 2564592 131764 12806236    0    0     0    64 1051  901 11  3 86  0  0
 2  0      0 2601796 131772 12789804    0    0     0 30960 1673 1116 18  5 76  1  0
 2  0      0 2551204 131772 12840176    0    0     0     0 1320  930 20  6 74  0  0
 3  0      0 2509372 131772 12883256    0    0     0 65984 1971 1217 18  5 74  2  0
 3  0      0 2458216 131772 12932692    0    0     0     0 1293  901 21  6 74  0  0
 3  0      0 2418928 131772 12972592    0    0     0 66016 1898 1233 19  5 74  3  0
 3  0      0 2369792 131772 13021188    0    0     0     0 1269  911 20  6 74  0  0
 5  0      0 2298496 131772 13084036    0    0     0 66000 2142 1346 24  7 67  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 2560116 131792 12810340    0    0     0 56776 1836 1292 16  6 76  2  0
 3  0      0 2549560 131792 12820908    0    0     0     0  948  848 11  3 86  0  0
 2  0      0 2539732 131792 12830248    0    0     0     0  997  875 10  3 86  0  0
 2  0      0 2529904 131792 12839968    0    0     0     0 1047  928 11  3 86  0  0
 2  0      0 2521084 131792 12849380    0    0     0    20  991  904 10  4 86  0  0
 3  0      0 2510248 131796 12862348    0    0     0   108 1074  940 11  3 85  0  0
 2  0      0 2541420 131800 12836876    0    0     0 30972 1502 1087 16  5 77  1  0
 2  0      0 2531368 131800 12846520    0    0     0     0 1068  948 10  4 86  0  0
 2  0      0 2522296 131800 12855608    0    0     0     0 1003  887 10  4 86  0  0
 2  0      0 2513224 131800 12864388    0    0     0     0  962  916 10  3 86  0  0
 2  0      0 2503652 131800 12873260    0    0     0   208  994  908 11  3 86  0  0
 3  0      0 2494076 131800 12882436    0    0     0    76  940  874 11  3 86  0  0
 3  0      0 2472936 131800 12904296    0    0     0     0 1036  845 13  4 83  0  0
 2  0      0 2499860 131816 12870804    0    0  1666 30960 2447 2128 14  5 79  1  0
 2  0      0 2487080 131816 12880296    0    0  1667     0 2058 1952 11  4 85  0  0
 2  0      0 2478292 131816 12889876    0    0     0     0 1010  933 11  3 86  0  0
 2  0      0 2467460 131816 12899380    0    0     0    32 1039  893 11  3 86  0  0
 4  0      0 2458144 131816 12908340    0    0     0     0 1083  943 11  3 86  0  0
 2  0      0 2449576 131816 12916832    0    0     0    52  997  909 11  3 86  0  0
 3  0      0 2419144 131816 12951612    0    0     0     0 1158  937 17  4 79  0  0
 4  0      0 2452052 131820 12930240    0    0     0 30984 1613 1103 19  6 73  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 2402156 131820 12978664    0    0     0    28 1312  928 20  6 74  0  0
 4  0      0 2359584 131824 13021192    0    0     0 66004 1950 1193 19  4 74  2  0
