procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4055540 129880 11316216    0    0    22  2120  174  148 14  3 81  1  1
 2  0      0 4056528 129880 11316228    0    0     0   296 1055  885  1  4 95  0  0
 1  0      0 4032596 129900 11326188    0    0     0   804 1910 1880 10  4 85  1  0
 1  0      0 4010924 129900 11336404    0    0     0     0 1366 1268 10  4 85  0  0
 1  0      0 3990008 129900 11346780    0    0     0    84 1145 1064  9  5 86  0  0
 1  0      0 3968084 129900 11357096    0    0     0     0 1040  937 10  4 86  0  0
 2  0      0 3946160 129900 11367308    0    0     0     0 1075 1003 10  4 86  0  0
 1  0      0 3928784 129900 11376816    0    0     0   108 1282 1044 11  3 85  0  0
 1  0      0 4001472 129900 11356332    0    0     0 30932 1947 1365 17  5 77  1  0
 1  0      0 3979080 129900 11367092    0    0     0     0 1051  931 10  4 86  0  0
 1  0      0 3956184 129900 11377764    0    0     0     0 1032  959 10  4 86  0  0
 2  0      0 3934336 129900 11388376    0    0     0    16 1043  949 10  4 86  0  0
 2  0      0 3911688 129900 11398860    0    0     0     0 1104 1006 11  3 86  0  0
 3  0      0 3889260 129904 11410224    0    0     0    68 1027  925 11  3 86  0  0
 2  0      0 3908776 129904 11390512    0    0     0 30944 1722 1192 16  5 78  1  0
 2  0      0 3896492 129904 11401880    0    0     0     0  996  907 10  4 86  0  0
 2  0      0 3886700 129904 11412868    0    0     0     0 1035  949 10  4 86  0  0
 2  0      0 3874388 129904 11423400    0    0     0     0 1009  911 11  3 86  0  0
 2  0      0 3863872 129904 11433772    0    0     0     0 1077  962 10  4 86  0  0
 2  0      0 3840436 129904 11458964    0    0     0   372 1259  999 14  4 82  0  0
 1  0      0 3869532 129904 11424240    0    0     0 30940 1575 1169 13  5 80  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3857944 129904 11434468    0    0     0     0 1050  917 10  4 86  0  0
 1  0      0 3843936 129904 11445484    0    0  1666     0 2121 2078 10  4 85  0  0
 1  0      0 3832184 129904 11456632    0    0  1667     0 1852 1895 11  3 86  0  0
 1  0      0 3821852 129904 11466452    0    0     0     0 1099 1015 11  3 86  0  0
 2  0      0 3784304 129904 11504860    0    0     0    52 1246  986 15  5 80  0  0
 3  0      0 3768068 129912 11523856    0    0     0 30944 2010 1220 28  7 63  1  0
 2  0      0 3736804 129920 11558732    0    0     0 113996 2275 1476 23  8 65  4  0
 1  0      0 3820232 129920 11469036    0    0     0     0 1109  995 10  4 86  0  0
 1  0      0 3809928 129920 11479124    0    0     0     0 1064  937 10  3 86  0  0
 1  0      0 3799092 129920 11489432    0    0     0     0 1073  987 10  3 86  0  0
 1  1      0 3759028 129920 11532240    0    0     0 12288 1349 1027 16  4 79  0  0
 1  0      0 3815848 129924 11481252    0    0     0 18700 1473 1210 10  4 85  1  0
 1  0      0 3804508 129924 11492868    0    0     0     0 1064  947 10  4 86  0  0
 1  0      0 3792664 129924 11503844    0    0     0   108 1075  998 11  3 86  0  0
 1  0      0 3782836 129924 11513792    0    0     0     0 1093  948 10  4 87  0  0
 1  0      0 3770740 129924 11524328    0    0     0     0 1044  982 10  4 86  0  0
 1  0      0 3783680 129928 11506100    0    0     0 31008 1630 1171 17  5 78  1  0
 1  0      0 3771336 129928 11517504    0    0     0     0 1086  983 10  4 87  0  0
 1  0      0 3759500 129928 11529216    0    0     0     0 1076  979 10  3 86  0  0
 1  0      0 3747936 129928 11540396    0    0     0     0 1065 1006 11  3 86  0  0
 1  0      0 3736344 129928 11550744    0    0     0     0 1107  947 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3701064 129928 11585864    0    0     0    56 1267 1045 15  5 80  0  0
 1  0      0 3742508 129936 11542936    0    0     0 30932 1520 1139 12  4 83  1  0
 1  0      0 3731672 129936 11553632    0    0     0     0 1006  974 10  4 86  0  0
 1  0      0 3722124 129936 11563288    0    0     0     0 1060  932 10  4 86  0  0
 1  0      0 3714060 129936 11570348    0    0     0     0 1084  949  9  5 85  0  1
 1  0      0 3705748 129936 11578256    0    0     0     0 1139 1004 10  4 86  0  0
 1  0      0 3695164 129936 11587892    0    0     0    48 1027  965 10  3 86  0  0
 5  0      0 3698552 129936 11592432    0    0     0 30952 1867 1147 26  8 65  1  0
 4  0      0 3565020 129936 11723404    0    0     0 36308 2312 1133 52 11 36  1  0
 1  3      0 3468252 129936 11815432    0    0     0 92112 2451 1395 36  9 49  7  0
 1  0      0 3700840 129936 11583472    0    0     0 95412 2097 1816 10  5 77  9  0
 1  0      0 3689584 129936 11594340    0    0     0     0  988  860 11  3 86  0  0
 1  0      0 3678276 129936 11605016    0    0     0     0 1023  911 10  3 86  0  0
 1  0      0 3701320 129944 11584980    0    0     0 31004 1543 1080 16  5 78  1  0
 1  0      0 3688724 129944 11596668    0    0     0     0 1061  961 10  3 86  0  0
 1  0      0 3677384 129944 11607612    0    0     0     0 1041  898 10  3 86  0  0
 6  0      0 3665792 129944 11618496    0    0     0    56 1040  949 10  4 86  0  0
 1  0      0 3655236 129944 11628760    0    0     0     0  980  893 10  4 87  0  0
 2  0      0 3633060 129944 11651500    0    0     0    76 1072  966 12  4 83  0  0
 1  0      0 3662188 129948 11621420    0    0     0 30932 1361 1027 14  4 81  1  0
 1  0      0 3650092 129948 11633364    0    0     0     0 1041  942 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3637772 129948 11644940    0    0     0     0 1010  884 11  3 86  0  0
 1  0      0 3626684 129948 11655136    0    0     0     0 1019  932 10  3 86  0  0
 1  0      0 3616604 129948 11665292    0    0     0    20 1032  897 10  3 86  0  0
 2  0      0 3576284 129952 11706036    0    0     0    68 1210  931 17  5 78  0  0
 1  0      0 3626800 129960 11655752    0    0     0 30928 1324 1070 11  4 84  1  0
 1  0      0 3615716 129960 11666516    0    0     0     0 1039  944 10  4 86  0  0
 1  0      0 3603396 129960 11677684    0    0     0     0 1050  938 10  4 86  0  0
 1  0      0 3592308 129960 11688332    0    0     0    48 1059  970 10  3 87  0  0
 1  0      0 3582020 129960 11699300    0    0     0     0 1063  905 10  4 86  0  0
 7  0      0 3560980 129964 11724020    0    0    56 31056 2092 1262 30  8 61  1  0
 6  0      0 3343252 129964 11935052    0    0     0 15544 2298  963 65 13 22  1  0
 1  5      0 3231648 129964 12039880    0    0     0 239216 5240 3443 32  9 24 34  0
 1  0      0 3576544 129988 11695312    0    0     0 74976 2541 2077 10  5 76  9  0
 2  0      0 3566464 129988 11704868    0    0     0     0  972  897 11  3 86  0  0
 3  0      0 3555684 129988 11714480    0    0     0   224 1222 1078 11  4 85  0  0
 1  0      0 3578988 129992 11692904    0    0     0 30996 2468 1944 22  7 69  1  0
 1  0      0 3568996 129992 11702948    0    0     0     0 1399 1334 10  5 85  0  0
 1  0      0 3558440 129992 11712972    0    0     0   176 1323 1150 10  4 86  0  0
 1  0      0 3547660 129992 11723596    0    0     0     0 1025  894 10  4 86  0  0
 1  0      0 3537412 129992 11733976    0    0  1666     0 1932 2001 11  3 85  0  0
 1  0      0 3527960 129996 11744836    0    0  1667    56 2398 2290 14  4 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3541440 130012 11726344    0    0     0 30952 1757 1246 17  5 76  1  0
 1  0      0 3540520 130012 11737424    0    0     0     0 1040  896 11  3 86  0  0
 1  0      0 3529672 130012 11748056    0    0     0     0 1044  927 10  4 86  0  0
 1  0      0 3519856 130012 11758576    0    0     0     0 1074  944 10  4 86  0  0
 3  0      0 3509540 130012 11768432    0    0     0     0  958  891 10  3 86  0  0
 2  0      0 3492908 130012 11784044    0    0     0    52 1043  919 11  4 85  0  0
 1  0      0 3516500 130016 11760284    0    0     0 30936 1585 1123 15  5 79  1  0
 1  0      0 3505412 130016 11771336    0    0     0     0  984  892 10  4 86  0  0
 1  0      0 3494076 130016 11782352    0    0     0     0 1087  994 11  3 86  0  0
 1  0      0 3483244 130016 11793460    0    0     0     0 1058  908 10  3 86  0  0
 1  0      0 3472156 130016 11803552    0    0     0     0 1025  950 10  3 86  0  0
 2  0      0 3443176 130020 11832024    0    0     0    52 1145  930 15  4 81  0  0
 4  0      0 3427672 130028 11860728    0    0     0 34096 1986 1199 34  8 57  2  0
 4  0      0 3312284 130028 11972652    0    0     0     0 1776  896 42  9 49  0  1
 1  0      0 3468968 130032 11809884    0    0     0 195740 3636 2541 20  7 55 18  0
 1  0      0 3458136 130032 11819896    0    0     0     0 1052  925 10  3 86  0  0
 1  0      0 3447076 130032 11829700    0    0     0    32 1065  977 10  3 86  0  0
 2  0      0 3438004 130032 11838212    0    0     0     4 1107  953 11  3 86  0  0
 1  0      0 3457776 130036 11817384    0    0     0 31072 2432 1972 20  6 72  2  0
 1  0      0 3446688 130036 11828616    0    0     0    64 1433 1335 11  3 86  0  0
 1  0      0 3435600 130036 11838752    0    0     0     0 1027  953 11  3 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3426360 130036 11848484    0    0     0     0 1044  918 10  4 86  0  0
 1  0      0 3416588 130036 11857524    0    0     0    64 1104 1046 11  3 86  0  0
 1  0      0 3406760 130036 11867688    0    0     0     0 1094 1034 11  3 86  0  0
 1  0      0 3426556 130040 11847524    0    0     0 30984 1501 1150 17  5 77  1  0
 1  0      0 3415276 130040 11858140    0    0     0     0 1030  915 10  3 86  0  0
 1  0      0 3404692 130040 11868480    0    0     0     0  988  954 11  3 86  0  0
 1  0      0 3393632 130040 11879008    0    0     0     8 1051  897 10  4 86  0  0
 2  0      0 3381624 130040 11889888    0    0     0     0 1049  962 10  3 86  0  0
 1  0      0 3370536 130040 11900928    0    0     0    64 1084  944 11  3 86  0  0
 1  0      0 3390308 130044 11881708    0    0     0 30952 1673 1192 16  5 77  1  0
 1  0      0 3378716 130044 11893152    0    0     0     0 1031  897 11  3 87  0  0
 1  0      0 3368132 130044 11903624    0    0     0   168 1164 1055 10  4 86  0  0
 1  0      0 3357804 130044 11913460    0    0     0     0 1048  862 10  4 86  0  0
 1  0      0 3346968 130044 11923616    0    0     0     0 1033  905 10  4 86  0  0
 2  0      0 3332352 130052 11939184    0    0     0    64 1118  938 12  3 85  0  0
 6  0      0 3296148 130060 11982896    0    0     0 30964 1932 1130 35  9 55  1  0
 7  1      0 3113480 130060 12160820    0    0     0 18428 2144  932 61 13 24  1  1
 1  1      0 3017256 130060 12254200    0    0     0 284716 4128 2751 35  9 37 19  1
 1  0      0 3336788 130060 11935140    0    0     0 11688 1394 1124 11  4 84  1  0
 1  0      0 3325700 130060 11945728    0    0     0   156 1078  929 10  3 86  0  0
 1  0      0 3314616 130060 11955656    0    0     0     0 1042  874 10  3 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3336400 130060 11935252    0    0     0 30956 1554 1166 17  5 77  1  0
 4  0      0 3324812 130060 11945980    0    0     0     4 1084  949 10  4 86  0  0
 1  0      0 3313724 130060 11956444    0    0     0     0 1079  940 10  4 86  0  0
 1  0      0 3303168 130060 11967220    0    0     0     0 1089  961 10  3 86  0  0
 1  0      0 3292332 130060 11977300    0    0     0     0 1010  954 11  3 86  0  0
 3  0      0 3279988 130060 11988944    0    0     0    48 1063  933 10  4 86  0  0
 2  0      0 3303508 130064 11969980    0    0     0 30984 1592 1132 16  5 79  1  0
 1  0      0 3290660 130064 11981780    0    0     0    56 1076  941 10  4 86  0  0
 1  0      0 3279068 130064 11993092    0    0     0     0 1070  953 10  3 86  0  0
 1  0      0 3269240 130064 12003024    0    0     0    24 1148  976 10  4 86  0  0
 1  0      0 3258908 130064 12012836    0    0     0     0 1519 1455 13  4 82  0  0
 2  0      0 3235752 130064 12038960    0    0     0     4 1285 1101 14  4 82  0  0
 1  0      0 3270476 130076 12003484    0    0     0 31120 1582 1200 14  4 81  1  0
 1  0      0 3260144 130076 12014116    0    0     0     0 1101  962 11  3 86  0  0
 1  0      0 3249320 130076 12025260    0    0     0     0 1150 1004 10  3 86  0  0
 1  0      0 3238284 130076 12035756    0    0     0     0 1095  930 10  3 86  0  0
 2  0      0 3224988 130076 12046036    0    0  1171    48 1749 1675 10  4 86  0  0
 2  0      0 3185508 130080 12087316    0    0  2162    56 2462 2288 16  5 79  0  0
 6  0      0 3076536 130088 12203356    0    0     0 30960 2450 1136 54 13 32  1  0
 1  3      0 2916324 130096 12354692    0    0     0 145948 3327 1769 47 11 32 10  0
 2  0      0 3194676 130116 12079584    0    0     0 153084 3614 2581 16  6 65 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 3142764 130116 12128700    0    0     0 38916 1332 1064 20  5 74  1  0
 2  0      0 3094128 130120 12179416    0    0     0 27132 1361  996 21  5 74  1  0
 1  1      0 3042220 130128 12234244    0    0     0 70116 1653 1208 19  5 74  2  0
 1  0      0 3226076 130136 12051872    0    0     0 12528 1272 1085 10  4 85  1  0
 1  0      0 3214232 130136 12062944    0    0     0     0 1068  921 11  3 86  0  0
 2  0      0 3203144 130136 12074008    0    0     0    24 1032  935 11  3 86  0  0
 1  0      0 3191300 130136 12085072    0    0     0     0 1018  878 10  3 87  0  0
 1  0      0 3180464 130136 12095660    0    0     0     4 1143 1098 11  3 86  0  0
 1  0      0 3200708 130152 12076992    0    0     0 31052 1720 1152 16  5 78  1  0
 1  0      0 3188364 130152 12088344    0    0     0     0 1065  918 10  4 86  0  0
 1  0      0 3176532 130152 12099460    0    0     0   188 1061  896 11  3 86  0  0
 1  0      0 3165444 130152 12110108    0    0     0     0 1042  931 11  3 86  0  0
 1  0      0 3154860 130152 12120356    0    0     0     0 1057  909 10  3 86  0  0
 2  0      0 3126132 130152 12149104    0    0     0    48 1133  916 14  4 82  0  0
 1  0      0 3170068 130156 12111804    0    0     0 30944 1558 1066 13  4 82  1  0
 1  0      0 3159484 130156 12122016    0    0     0    20 1098  950 10  3 87  0  0
