procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 1916576 131844 13436704    0    0    20  2453  180  149 15  4 80  1  1
 2  0      0 1915636 131844 13436712    0    0     0     0  633  828  1  0 99  0  0
 1  0      0 1899776 131868 13446200    0    0     0   780 1797 1737 10  4 85  1  0
 1  0      0 1878104 131868 13456684    0    0     0     0 1136 1058 11  3 86  0  0
 1  0      0 1856688 131868 13466728    0    0     0     0 1004  934 10  3 86  0  0
 1  0      0 1835296 131868 13476736    0    0     0     0  954  891 10  3 86  0  0
 2  0      0 1815892 131868 13486240    0    0     0     0  999  942 10  4 86  0  0
 1  0      0 1797244 131868 13495000    0    0     0 54472 1723 1193 11  4 83  2  0
 2  0      0 1746872 131868 13532188    0    0     0     0 1325 1106 16  5 79  0  0
 1  0      0 1843780 131868 13485180    0    0     0 30940 1327 1150 11  4 84  1  0
 1  0      0 1821612 131868 13495584    0    0     0     0  993  963 10  3 86  0  0
 1  0      0 1801760 131868 13505532    0    0    32     0  999  893 10  3 86  0  0
 2  0      0 1782692 131868 13515008    0    0     0     0 1019  928 11  3 86  0  0
 1  0      0 1764044 131868 13524160    0    0    20     0  999  887 10  4 86  0  0
 3  0      0 1729520 131868 13551920    0    0     0    56 1118  943 14  3 82  0  0
 1  0      0 1764884 131872 13514716    0    0     0 30944 1270 1129 12  5 82  1  0
 1  0      0 1755560 131872 13524628    0    0     0     0 1001  921 10  3 86  0  0
 1  0      0 1745036 131872 13534748    0    0     0     0 1085  917 10  4 86  0  0
 1  0      0 1734304 131872 13545112    0    0  3333     0 2697 2839 11  4 85  0  0
 1  0      0 1724532 131872 13555408    0    0     0     0 1079  949 10  3 86  0  0
 2  0      0 1690540 131876 13588692    0    0     0   948 1202  979 13  5 81  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1727476 131880 13547540    0    0     0 30956 1243 1113 12  5 83  1  0
