procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1994320 131336 13360168    0    0    21  2254  176  149 14  3 81  1  1
 2  0      0 1994636 131336 13360184    0    0     0     0  954 1109  0  1 99  0  0
 1  0      0 1967984 131360 13371956    0    0     0   932 2278 2219 10  4 85  0  0
 1  0      0 1944548 131360 13383012    0    0     0    36 1450 1436 10  4 86  0  0
 1  0      0 1920608 131360 13393848    0    0     0   208 1300 1186 10  4 86  0  0
 1  0      0 1897732 131360 13405172    0    0     0     0 1239 1191 10  4 86  0  0
 2  0      0 1874300 131360 13416400    0    0     0     0 1063 1037 10  3 86  0  0
 2  0      0 1821884 131364 13455644    0    0     0    92 1525 1289 16  4 80  0  0
 1  0      0 1917256 131368 13410164    0    0     0 30948 1565 1361 10  5 84  1  0
 1  0      0 1893104 131368 13422060    0    0     0     0 1248 1176 10  4 86  0  0
 1  0      0 1869716 131368 13433320    0    0     0     0 1067  931 10  3 86  0  0
 1  0      0 1848072 131368 13443892    0    0     0     0 1109  979 10  3 86  0  0
 2  0      0 1824888 131368 13457908    0    0     0     0 1178 1049 11  4 85  0  0
 1  0      0 1843368 131372 13436532    0    0     0 31048 1363 1139 16  4 79  1  0
 1  0      0 1830300 131372 13448940    0    0     0     8 1105  948 11  3 86  0  0
 1  0      0 1818988 131372 13460600    0    0     0     0 1016  931 11  3 86  0  0
 1  0      0 1810020 131372 13471872    0    0    44     0 1132  971 10  4 86  0  0
 1  0      0 1797132 131372 13483188    0    0     0     0 1594 1402 12  4 83  0  0
 1  0      0 1813848 131388 13464692    0    0     0 31016 1961 1472 16  5 78  1  0
 1  0      0 1801792 131388 13476780    0    0     0     8 1148 1007 10  3 86  0  0
 1  0      0 1790480 131388 13488384    0    0     0     0 1121  993 10  3 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1779168 131388 13499172    0    0     0     0 1044  952 10  4 86  0  0
 1  0      0 1767832 131388 13510232    0    0     0     0 1091 1008 10  3 87  0  0
 2  0      0 1734824 131388 13543816    0    0     0    68 1139  977 14  4 82  0  0
 3  0      0 1720104 131400 13568268    0    0     0 30936 1902 1086 28  7 64  1  0
 2  0      0 1779320 131412 13504732    0    0     0 114012 2737 1513 22  7 68  3  0
