procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3937196 128368 11455684    0    0    24  1976  171  148 13  3 82  1  1
 2  0      0 3936868 128372 11455604    0    0     0   284  885 1108  0  1 99  0  0
 1  0      0 3915504 128384 11467168    0    0    20  2800 1894 2025  9  5 86  0  0
 1  0      0 3895092 128384 11476380    0    0     0     0 1412 1349 10  5 85  0  0
 2  0      0 3873168 128384 11487116    0    0     0     0 1140 1134 10  4 86  0  0
 1  0      0 3847808 128384 11497772    0    0     0     4 1427 1403 13  4 83  0  0
 2  0      0 3824376 128384 11508616    0    0     0   228 1152 1048 10  4 86  0  0
 2  0      0 3797920 128388 11526552    0    0     0    96 1326 1133 13  3 84  0  0
 1  0      0 3871364 128392 11500232    0    0     0 30948 1577 1411 14  5 80  1  0
 1  0      0 3847692 128392 11511924    0    0     0     0 1100 1039 10  3 86  0  0
 1  0      0 3824496 128392 11522660    0    0     0     0 1049  978 10  4 86  0  0
 1  0      0 3803328 128392 11532844    0    0     0     0 1060  989 10  3 86  0  0
 1  0      0 3782664 128392 11543180    0    0     0    40 1098 1024 10  4 86  0  0
 2  0      0 3736596 128396 11578432    0    0  1682    64 2094 2031 15  5 80  0  0
 1  0      0 3776804 128396 11534856    0    0  1667 30984 2115 2171 12  4 83  1  0
 1  0      0 3766036 128396 11545812    0    0     0     0 1043  954 10  4 87  0  0
 1  0      0 3754696 128396 11556724    0    0     0     0 1054  930 10  3 86  0  0
 1  0      0 3745148 128396 11567220    0    0     0     0 1089  963 11  3 86  0  0
 1  0      0 3735668 128396 11578200    0    0     0    16 1082  978 11  3 86  0  0
 1  0      0 3750364 128408 11559652    0    0     0 31036 1282 1176 15  5 78  1  0
 1  0      0 3738552 128408 11570868    0    0     0     0 1052  952 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3727728 128408 11581996    0    0     0     0 1031  943 11  3 86  0  0
 1  0      0 3717148 128408 11592600    0    0     0     0 1064  970 10  3 86  0  0
 1  0      0 3707320 128408 11602624    0    0     0     0 1029  973 10  3 86  0  0
 2  0      0 3691948 128412 11617900    0    0     0   100 1100  976 11  4 85  0  0
 4  0      0 3693880 128420 11621284    0    0     0 30968 1543 1159 25  6 68  1  0
 3  0      0 3597408 128420 11716684    0    0     0 27648 1749 1047 29  8 61  1  0
 1  0      0 3706224 128432 11607780    0    0     0 86368 1868 1368 11  4 82  3  0
 1  0      0 3694884 128432 11618596    0    0     0     0 1029  918 10  3 86  0  0
 1  0      0 3683832 128432 11629336    0    0     0     0 1117  951 10  4 86  0  0
 3  0      0 3642264 128436 11672444    0    0     0 11348 1264 1008 16  4 79  1  0
 1  0      0 3702600 128452 11620356    0    0     0 19756 1132 1072 11  4 84  1  0
 1  0      0 3691768 128452 11630756    0    0     0     0 1005  925 11  3 86  0  0
 1  0      0 3680716 128452 11641764    0    0     0     0 1042  943 10  4 86  0  0
 1  0      0 3669376 128452 11652744    0    0     0     0 1044  930 10  4 87  0  0
 1  0      0 3657784 128452 11663600    0    0     0    24 1095  967 10  3 87  0  0
 2  0      0 3671504 128460 11645360    0    0     0 31032 1216 1048 15  5 78  1  0
 1  0      0 3658912 128460 11657408    0    0     0     0 1058  944 10  3 86  0  0
 1  0      0 3647600 128460 11667992    0    0     0     0 1022  934 10  3 87  0  0
 1  0      0 3637072 128460 11678412    0    0     0     0 1048  941 10  3 86  0  0
 1  0      0 3626748 128460 11689228    0    0     0    60 1069  924 10  3 86  0  0
 2  0      0 3599384 128464 11716096    0    0     0    72 1119  971 14  3 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3632816 128468 11681624    0    0     0 30952 1238 1146 13  4 82  1  0
 1  0      0 3620472 128468 11692960    0    0     0     0 1042  950 10  3 86  0  0
 2  0      0 3609392 128468 11704252    0    0     0     0 1010  917 11  3 86  0  0
 1  0      0 3598052 128468 11715128    0    0     0     4 1073  955 10  4 86  0  0
 1  0      0 3587720 128468 11725452    0    0     0     0 1029  930 10  4 86  0  0
 6  0      0 3596876 128492 11719648    0    0     0 31008 1398 1150 21  5 73  1  0
 4  1      0 3451280 128492 11864116    0    0     0  7168 1999  958 53 10 36  0  0
 1  3      0 3354764 128496 11955264    0    0     0 114964 2580 1522 34  9 47  9  1
 1  0      0 3587520 128504 11722924    0    0     0 101640 2205 1681 10  5 74 11  0
 1  0      0 3576968 128504 11732936    0    0     0     0 1045  922 10  4 86  0  0
 1  0      0 3567404 128504 11742416    0    0     0     0 1036  900 11  4 86  0  0
 2  0      0 3529856 128504 11780956    0    0     0     0 1176  926 16  4 79  0  0
 1  0      0 3577600 128512 11732696    0    0     0 31020 1153 1094 11  4 84  1  0
 1  0      0 3566524 128516 11743644    0    0     0    68 1050  930 11  3 87  0  0
 1  0      0 3555436 128516 11754996    0    0     0     0 1030  881 11  3 86  0  0
 1  0      0 3544348 128516 11765644    0    0     0     0 1199  933 11  3 86  0  0
 1  0      0 3534024 128516 11776172    0    0     0     0 1018  890 11  3 86  0  0
 1  0      0 3553512 128516 11755840    0    0     0 30980 1293 1105 15  6 76  3  0
 1  0      0 3541672 128516 11767288    0    0     0     0 1022  885 10  4 86  0  0
 1  0      0 3530584 128516 11778240    0    0     0     0 1025  897 10  4 86  0  0
 1  0      0 3519760 128516 11788916    0    0     0     0 1036  930 11  3 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3507916 128516 11799448    0    0     0     0 1051  927 10  3 86  0  0
 2  0      0 3493368 128520 11814148    0    0     0    72 1095  923 11  3 86  0  0
 1  0      0 3515156 128520 11791444    0    0     0 31080 1299 1097 15  5 79  1  0
 1  0      0 3504628 128520 11802672    0    0     0     0  988  906 10  3 86  0  0
 1  0      0 3493356 128520 11813304    0    0     0     0 1114  948 10  4 86  0  0
 1  0      0 3483332 128520 11823284    0    0     0     0 1024  879 10  4 86  0  0
 2  0      0 3472272 128520 11833852    0    0     0     0 1011  908 10  3 86  0  0
 3  0      0 3449592 128524 11856248    0    0     0    68 1146  933 13  5 82  0  0
 7  0      0 3414456 128548 11902488    0    0     0 30984 1749 1142 36  9 54  1  0
 8  0      0 3246144 128548 12064360    0    0     0     0 2004  928 52 11 36  0  0
 2  2      0 3186964 128548 12115768    0    0  1666 227496 4886 3792 19  7 36 37  0
 1  0      0 3474092 128588 11838632    0    0  1667 102328 3499 2952 27  8 57  8  0
 2  0      0 3463036 128588 11848460    0    0     0     0 1060  934 11  3 86  0  0
 2  0      0 3439852 128588 11871628    0    0     0    60 1145  910 13  4 83  0  0
 1  0      0 3472224 128596 11837264    0    0     0 30980 1272 1129 14  5 80  1  0
 1  0      0 3462144 128596 11847196    0    0     0     0 1055  922 10  3 86  0  0
 1  0      0 3450556 128596 11857992    0    0     0     0 1067  970 11  3 86  0  0
 1  0      0 3440980 128596 11869056    0    0     0     0 1023  910 10  3 86  0  0
 2  0      0 3429892 128596 11879896    0    0     0     0 1039  928 10  4 86  0  0
 2  0      0 3394360 128596 11912924    0    0     0   104 1283 1060 14  5 81  0  0
 2  0      0 3431832 128596 11870716    0    0     0 31016 2251 1952 16  7 76  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3421776 128596 11881080    0    0     0     0 1504 1294 13  4 84  0  0
 1  0      0 3412488 128596 11891268    0    0     0     0 1109 1004 11  3 86  0  0
 1  0      0 3401912 128596 11901168    0    0     0     4 1118  957 11  3 86  0  0
 1  0      0 3392404 128596 11910628    0    0     0     0 1080  940 10  4 86  0  0
 2  0      0 3371772 128596 11931764    0    0     0   100 1123  918 13  4 83  0  0
 2  0      0 3402420 128596 11900500    0    0     0 30980 1277 1107 15  5 80  1  0
 1  0      0 3391616 128596 11911596    0    0     0     0 1026  898 10  4 86  0  0
 1  0      0 3380052 128596 11923136    0    0     0     0 1024  933 10  3 87  0  0
 1  0      0 3368004 128596 11934296    0    0     0     0 1048  947 10  3 86  0  0
 2  0      0 3356412 128596 11945220    0    0     0     0 1009  913 10  3 87  0  0
 6  0      0 3374976 128608 11926784    0    0     0 31048 1315 1070 16  6 78  1  0
 5  0      0 3218736 128608 12090796    0    0     0     0 1943  939 54 10 36  0  0
 3  2      0 3073612 128612 12230136    0    0     0 88924 2706 1289 49 10 36  4  0
 1  0      0 3348812 128624 11951788    0    0     0 193652 3399 2500 11  5 65 18  1
 1  0      0 3338992 128624 11961504    0    0     0     0 1005  902 10  4 86  0  0
 1  0      0 3329168 128624 11970896    0    0     0     0 1065  961 10  3 86  0  0
 2  0      0 3297920 128624 12007496    0    0     0     0 1134  940 16  4 80  0  0
 1  0      0 3343620 128624 11961592    0    0     0 31200 1242 1168 11  4 84  1  0
 1  0      0 3333036 128624 11972388    0    0     0     0 1086 1017 10  3 86  0  0
 1  0      0 3322204 128624 11983112    0    0     0     0 1051  950 10  4 86  0  0
 1  0      0 3310360 128624 11994104    0    0     0     0 1059  916 11  2 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3300532 128624 12004840    0    0     0     0 1087  972 10  3 86  0  0
 1  0      0 3321532 128640 11985848    0    0     0 31068 1331 1130 14  6 78  1  0
 1  0      0 3310196 128640 11997048    0    0     0     0 1076  970 10  4 87  0  0
 1  0      0 3299360 128640 12008488    0    0     0     0 1015  920 10  4 86  0  0
 1  0      0 3287768 128640 12019568    0    0     0    44 1091  959 10  3 86  0  0
 1  0      0 3276680 128640 12030256    0    0     0     0 1055  920 11  3 86  0  0
 2  0      0 3251984 128640 12056344    0    0     0   140 1231 1113 13  4 83  0  0
 1  0      0 3282572 128640 12023136    0    0     0 30976 1351 1081 14  4 81  1  0
 1  0      0 3272776 128640 12033324    0    0     0     0 1017  905 10  3 86  0  0
 1  0      0 3262696 128640 12043340    0    0     0     0 1007  896 10  3 86  0  0
 1  0      0 3252868 128640 12052896    0    0     0     0 1035  876 10  4 86  0  0
 1  0      0 3243544 128640 12062296    0    0     0     0 1021  863 11  3 86  0  0
 2  0      0 3230948 128640 12077208    0    0     0    68 1088  946 12  3 85  0  0
 4  0      0 3241676 128644 12082676    0    0     0 30976 1507 1137 27  6 65  2  0
 4  0      0 3116964 128644 12203444    0    0     0 43072 2199 1141 41  8 49  2  0
 1  0      0 3249160 128660 12069720    0    0     0 148732 3080 1819 25  8 63  4  0
 1  0      0 3238076 128660 12079708    0    0     0     0 1055  930 11  3 86  0  0
 1  0      0 3229256 128660 12089744    0    0     0     4 1063  937 11  3 86  0  0
 2  0      0 3214164 128660 12107192    0    0     0     0 1104  940 12  4 84  0  0
 1  0      0 3231640 128668 12080700    0    0     0 31060 1264 1103 14  5 80  1  0
 1  0      0 3220804 128668 12091700    0    0     0     0 1078  927 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3209464 128668 12102624    0    0     0     0 1030  888 10  3 87  0  0
 1  0      0 3199132 128668 12112820    0    0     0    12 1050  924 11  3 86  0  0
 1  0      0 3188548 128668 12123080    0    0     0     0 1040  867 10  4 86  0  0
 2  0      0 3160828 128668 12150996    0    0     0    72 1130  950 14  3 82  0  0
 1  0      0 3203508 128672 12113992    0    0     0 30976 1204 1110 13  4 81  2  0
 1  0      0 3192924 128672 12124064    0    0     0     0 1044  911 10  4 86  0  0
 1  0      0 3182844 128672 12133644    0    0     0     8 1002  861 11  3 86  0  0
 1  0      0 3165772 128672 12143352    0    0  1666     0 1832 1847 11  3 85  0  0
 2  0      0 3155704 128672 12153412    0    0  1667     0 1793 1909 11  3 86  0  0
 2  0      0 3132772 128676 12176044    0    0     0    64 1004  852 13  3 84  0  0
 1  0      0 3156308 128680 12145044    0    0     0 30976 1248 1075 14  4 81  1  0
 1  0      0 3145724 128680 12155656    0    0     0   180 1082  916 10  4 86  0  0
 1  0      0 3134396 128680 12166160    0    0     0    36 1096  921 10  4 86  0  0
 1  0      0 3124596 128680 12175892    0    0     0     0 1040  904 11  3 87  0  0
 1  0      0 3114320 128680 12186176    0    0     0     0  998  884 11  3 86  0  0
 2  0      0 3087612 128684 12214232    0    0    72    88 1146  941 13  4 82  0  0
 5  0      0 3062500 128684 12257860    0    0     0 31044 1921 1286 39  9 51  1  0
 5  0      0 2898020 128684 12415988    0    0     0     0 1968  922 53 11 36  0  0
 3  0      0 2801304 128692 12510724    0    0     0 243284 4472 2519 34  9 39 18  0
 2  0      0 3086000 128700 12227448    0    0     0 64060 2189 1425 18  6 72  3  0
 1  1      0 3035908 128700 12274416    0    0     0 45056 1678 1097 19  5 74  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 2980524 128700 12329784    0    0     0 20920 1556 1020 20  5 74  1  0
 1  0      0 3118296 128704 12186832    0    0     0 90224 2359 1412 18  7 73  2  0
 1  0      0 3107012 128704 12198232    0    0     0     0 1051  934 10  4 86  0  0
 1  0      0 3095224 128704 12209784    0    0     0     0  994  881 10  4 86  0  0
 1  0      0 3083128 128704 12221012    0    0    36     0 1026  905 10  4 86  0  0
 1  0      0 3073132 128704 12231328    0    0     0     0 1016  893 11  3 86  0  0
 2  0      0 3033596 128708 12269808    0    0     0   120 1125  902 15  5 80  0  0
 1  0      0 3097800 128720 12222268    0    0     0 30944 1467 1111 11  4 84  1  0
 1  0      0 3086240 128720 12232936    0    0    60     0 1014  911 10  4 86  0  0
 1  0      0 3075404 128720 12243504    0    0     0     0  975  888 10  3 87  0  0
 1  0      0 3064848 128720 12254108    0    0     0    12 1077  919 11  3 86  0  0
 2  0      0 3054072 128720 12264280    0    0    84     0 1010  873 10  3 86  0  0
 1  1      0 3003676 128720 12307044    0    0     0  8260 1201  972 17  4 78  0  0
 1  0      0 3052400 128728 12255024    0    0    56 22768 1313 1096 10  4 85  1  0
 1  0      0 3042864 128728 12265584    0    0     0     0 1044  938 11  3 87  0  0
 1  0      0 3031296 128728 12275980    0    0     0    28 1088  977 11  3 86  0  0
 1  0      0 3021976 128728 12285596    0    0     0    16 1060  965 11  3 86  0  0
 1  0      0 3011392 128728 12295576    0    0     0     0 1086  947 10  3 86  0  0
 2  0      0 2972336 128728 12335484    0    0     0    96 1170  928 16  5 79  0  0
 5  0      0 2925076 128736 12404888    0    0     0 30996 2238 1081 46 11 42  1  0
 4  1      0 2767876 128740 12556668    0    0     0 76716 2621 1224 52  9 36  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 2659264 128740 12664200    0    0    40 273568 4773 2726 36 10 40 14  1
 2  0      0 2984088 128740 12342904    0    0     0    96 1442 1013 20  6 74  0  0
 2  0      0 2990928 128744 12335448    0    0    64 47480 1786 1169 20  5 74  2  0
 3  0      0 2921628 128744 12400004    0    0     0     0 1479 1039 24  6 70  0  0
 3  0      0 2920204 128752 12395584    0    0     0 96996 2399 1444 23  6 68  3  0
 1  0      0 3015224 128760 12296424    0    0     0 53836 1761 1241 16  5 77  1  0
 1  0      0 3003884 128760 12307108    0    0    64     0 1019  928 10  4 86  0  0
 2  0      0 2989272 128760 12317644    0    0    36     0 1238 1080 10  4 86  0  0
 1  0      0 2975916 128760 12328540    0    0     0     0 1487 1411 13  4 83  0  0
 2  0      0 2951472 128760 12354404    0    0     0     0 1250 1088 14  4 82  0  0
 1  0      0 2985608 128760 12317844    0    0     0 31116 1540 1197 13  5 80  2  0
