procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 3676288 128416 11760820    0    0    25  1818  169  149 13  3 82  1  1
 2  0      0 3675704 128416 11760716    0    0   188     0  723  927  0  1 99  0  0
 1  0      0 3648992 128604 11772956    0    0   228   960 1801 1790  9  5 86  0  0
 1  0      0 3622784 128604 11784696    0    0     0  8288 1259 1229 10  4 86  0  0
 1  0      0 3599852 128604 11795764    0    0     0     0 1017  968 10  3 86  0  0
 1  0      0 3576948 128604 11806804    0    0     0     4  996  904 11  3 86  0  0
 2  0      0 3555028 128604 11817384    0    0     0     0 1013  962 10  3 87  0  0
 3  0      0 3499856 128608 11855744    0    0   547   348 1869 1548 14  6 80  0  0
 1  0      0 3593776 128612 11809648    0    0  1671 30936 2525 2244 12  5 83  1  0
 1  0      0 3567616 128612 11820732    0    0  1119     0 1469 1565 10  4 86  0  0
 1  0      0 3544716 128612 11831612    0    0     0     0  926  913 11  3 86  0  0
 1  0      0 3521584 128612 11842688    0    0     0     0  914  861 10  4 86  0  0
 1  0      0 3498908 128612 11853152    0    0     0     0  992  943 10  3 86  0  0
 1  0      0 3516420 128620 11833168    0    0     0 31108 1516 1074 16  5 77  1  0
 1  0      0 3504568 128620 11844288    0    0     0     0  952  874 10  3 86  0  0
 1  0      0 3494280 128620 11855556    0    0     0     0  981  900 10  4 86  0  0
 1  0      0 3483176 128620 11866172    0    0     0     0  944  884 11  3 86  0  0
 1  0      0 3472620 128620 11876660    0    0     0     0  973  892 11  3 86  0  0
 2  0      0 3462288 128620 11886296    0    0     0    48 1052  945 10  4 86  0  0
 1  0      0 3478280 128628 11865164    0    0     0 31012 1609 1081 17  6 76  1  1
 1  0      0 3466980 128628 11875504    0    0     0     0 1064  952 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3456668 128628 11885772    0    0     0     0  978  893 11  3 86  0  0
 1  0      0 3445888 128628 11896380    0    0     0     0  996  913 11  3 86  0  0
 1  0      0 3436312 128628 11906188    0    0     0     0  989  917 10  3 86  0  0
 1  0      0 3424528 128628 11916852    0    0     0    96 1038  969 10  4 87  0  0
 3  0      0 3436328 128636 11912716    0    0     0 30960 1647 1056 21  6 72  1  0
 3  0      0 3347064 128636 11997932    0    0     0     0 1488  908 31  7 61  0  0
 1  0      0 3434724 128648 11907244    0    0     0 114012 2406 1478 16  6 75  3  0
 1  0      0 3422912 128648 11917848    0    0     0     0 1033  931 10  3 86  0  0
 2  0      0 3412584 128648 11928132    0    0     0     0 1016  898 10  4 86  0  0
 1  0      0 3401500 128648 11938528    0    0     0     8  979  908 10  3 86  0  0
 1  0      0 3428596 128656 11918728    0    0     0 31000 1581 1105 17  5 77  1  0
 1  0      0 3416784 128656 11929532    0    0     0     0 1051  955 11  3 86  0  0
 1  0      0 3405472 128656 11940684    0    0     0     0 1033  929 10  3 86  0  0
 1  0      0 3394412 128656 11951908    0    0     4    20 1021  938 10  4 86  0  0
 1  0      0 3383076 128656 11962880    0    0     0     0 1052  946 10  4 86  0  0
 2  0      0 3371736 128660 11980084    0    0     0   116 1119  970 11  5 84  0  0
 1  0      0 3388968 128668 11953144    0    0     0 30956 1609 1103 15  5 80  1  0
 1  0      0 3377660 128668 11963556    0    0     0     0 1046  933 10  4 86  0  0
 1  0      0 3366572 128668 11973728    0    0     0    60 1015  908 10  4 86  0  0
