procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1932196 130776 13431720    0    0    20  2374  179  149 14  3 80  1  1
 2  0      0 1931944 130780 13431748    0    0     4    32  720  933  1  0 99  0  0
 1  0      0 1907756 130820 13442120    0    0     0   868 1793 1802  9  5 85  0  0
 1  0      0 1886592 130820 13452128    0    0     0     0 1175 1104 10  4 86  0  0
 1  0      0 1865424 130820 13462592    0    0     0     0 1036  992 10  4 86  0  0
 1  0      0 1845516 130820 13472196    0    0     0     0 1052  988 10  4 86  0  0
 2  0      0 1826868 130820 13481032    0    0     0  8252 1162 1081 11  3 85  1  0
 1  0      0 1808220 130820 13490204    0    0    28   172 1285 1098 11  4 85  0  0
 2  1      0 1752276 130820 13531528    0    0     0  1028 1781 1493 21  6 74  0  0
 1  0      0 1856520 130840 13479600    0    0     0 29992 2920 2453 14  5 79  1  0
 1  0      0 1835892 130840 13489200    0    0     0    76 1281 1145 11  3 86  0  0
 1  0      0 1816772 130840 13498944    0    0     0     0 1231 1097 11  4 86  0  0
 1  0      0 1798156 130840 13508304    0    0    68     0 1072  993 10  3 86  0  0
 1  0      0 1779808 130840 13517624    0    0     0     0 1059  970 11  3 86  0  0
 4  0      0 1754636 130840 13538304    0    0     0    72 1234  994 13  4 83  0  0
 1  0      0 1784032 130844 13506288    0    0     0 30992 1672 1204 14  5 79  1  0
 2  0      0 1773956 130844 13516424    0    0     0    36 1172 1034 11  3 86  0  0
 2  0      0 1764156 130844 13526356    0    0     0     0 1081  957 10  4 86  0  0
 2  0      0 1755116 130844 13535808    0    0     0     0 1069  966 11  3 86  0  0
 2  0      0 1745800 130844 13544900    0    0     0     0 1140  959 10  4 86  0  0
 2  0      0 1737552 130844 13553576    0    0     0    96 1119  979 11  3 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 1695488 130844 13593540    0    0     0 12320 1381 1049 18  5 76  1  1
 2  0      0 1744680 130844 13541240    0    0     0 18696 1379 1143 10  4 85  1  0
 3  0      0 1735620 130844 13550376    0    0    52     0 1345 1251 11  3 86  0  0
 2  0      0 1724428 130844 13559296    0    0  3281     0 2639 2520 11  4 84  0  0
 2  0      0 1714112 130844 13568324    0    0     0    56 1098  983 10  4 86  0  0
 2  0      0 1705292 130844 13577584    0    0     0     0 1115  977 10  3 86  0  0
 2  0      0 1696976 130844 13585256    0    0     0    60 1112  949 10  4 86  0  0
 7  0      0 1715240 130844 13570168    0    0    36 30972 1700 1262 19  6 74  2  0
 4  0      0 1640180 130844 13645752    0    0     0     0 1557  906 31  8 61  0  0
 3  1      0 1583480 130844 13698592    0    0     0 110196 2008 1357 25  6 65  4  1
 1  0      0 1699408 130860 13584188    0    0     0  3840 1221 1078 11  3 84  1  0
 2  0      0 1690084 130860 13593020    0    0     0    16 1101  967 11  3 86  0  0
 1  0      0 1681516 130860 13601400    0    0     0     0 1033  925 11  3 86  0  0
 2  0      0 1669196 130860 13615920    0    0     0     0 1180  962 11  4 85  0  0
 1  0      0 1702552 130860 13590244    0    0     0 31012 1593 1119 16  4 78  2  0
 1  0      0 1692472 130860 13600284    0    0     0     0 1049  913 11  3 86  0  0
 1  0      0 1682392 130860 13609756    0    0    28    72 1075  932 10  4 86  0  0
 1  0      0 1672816 130860 13619120    0    0     0     0 1068  945 11  3 86  0  0
 1  0      0 1663996 130860 13628312    0    0     0     0 1064  899 11  3 86  0  0
 2  0      0 1653916 130860 13637936    0    0     0   144 1059  960 11  3 86  0  0
 2  0      0 1668368 130864 13617404    0    0     0 30964 1674 1219 17  5 77  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1656776 130864 13628256    0    0     0    24 1157  996 11  3 86  0  0
 2  0      0 1646456 130864 13638032    0    0     0     0 1098  933 10  4 86  0  0
 2  0      0 1636124 130864 13647908    0    0     0     0 1105  960 10  4 86  0  0
 2  0      0 1626296 130864 13657444    0    0     0     0 1083  916 11  3 86  0  0
 2  0      0 1617224 130864 13667128    0    0     0   148 1115  953 11  2 86  0  0
 2  1      0 1575644 130864 13708728    0    0     0  4112 1229  945 16  5 79  0  0
 2  0      0 1635232 130872 13656920    0    0     0 26904 1489 1168 10  4 84  1  0
 2  0      0 1624400 130872 13667060    0    0     0     0 1098  934 11  3 86  0  0
 1  0      0 1614572 130872 13676228    0    0     0     0 1178 1040 11  3 86  0  0
 1  0      0 1605500 130872 13685392    0    0     0     0 1133  952 10  4 86  0  0
 1  0      0 1597184 130872 13693256    0    0     0    52 1134  990 11  3 86  0  0
 1  0      0 1586880 130872 13702036    0    0     0   188 1024  945 11  3 86  0  0
 6  0      0 1580996 130872 13702492    0    0     0 30972 1778 1163 26  6 67  2  0
 4  0      0 1440820 130872 13841044    0    0     0 36092 2263 1046 51 12 37  1  0
 1  3      0 1348336 130872 13928900    0    0     0 81828 2219 1346 36  9 49  6  1
 1  0      0 1581176 130876 13698756    0    0     0 105844 2477 1883 10  5 76  9  0
 1  0      0 1570848 130876 13708084    0    0     0     0 1035  911 10  4 86  0  0
 1  0      0 1561524 130876 13717660    0    0     0    20  975  874 11  3 86  0  0
 2  0      0 1535596 130876 13745928    0    0     0     0 1120  907 15  4 81  0  0
 1  0      0 1583588 130888 13704580    0    0     0 31016 1399 1123 13  4 81  2  0
 1  0      0 1573256 130888 13714832    0    0     0     0 1045  916 10  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1564184 130888 13723860    0    0    24     0 1003  871 11  4 86  0  0
 1  0      0 1554608 130888 13733232    0    0    28     0 1041  913 10  3 86  0  0
 1  0      0 1544280 130888 13742832    0    0     0     0 1031  910 10  4 86  0  0
 1  0      0 1534452 130888 13751976    0    0     0   156 1083  916 11  3 86  0  0
 1  0      0 1551672 130892 13730164    0    0     0 30976 1546 1104 18  5 75  2  0
 1  0      0 1542096 130892 13739268    0    0     0    16 1019  900 10  4 86  0  0
 1  0      0 1533028 130892 13748188    0    0     0     0  981  885 10  4 86  0  0
 1  0      0 1524712 130892 13756440    0    0     0     0 1041  899 10  4 86  0  0
 2  0      0 1516396 130892 13764872    0    0     0    28 1011  878 11  3 86  0  0
 1  0      0 1508080 130892 13773116    0    0     0    92 1067  911 11  3 86  0  0
 1  0      0 1499512 130892 13781492    0    0     0   128 1070  916 11  3 86  0  0
 1  0      0 1526592 130896 13760808    0    0    16 31008 1598 1102 17  5 77  1  0
 1  0      0 1515928 130896 13771996    0    0     0     0 1003  905 11  3 86  0  0
 1  0      0 1505628 130896 13782120    0    0     0     0 1048  925 10  4 86  0  0
 1  0      0 1497060 130896 13791292    0    0     0     0  979  914 10  4 86  0  0
 3  0      0 1487020 130896 13800496    0    0     0     0  964  866 10  4 86  0  0
 1  0      0 1478452 130896 13808936    0    0     0   100 1019  860 11  3 86  0  0
 2  0      0 1456528 130896 13831500    0    0     0     0 1129  932 13  4 82  0  0
 7  0      0 1408524 130900 13875272    0    0     0 30968 2136 1118 48  9 41  1  1
