procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10601712 136256 18173324    0    0    24  2533  157   93 12  3 84  1  1
 3  0      0 10601208 136256 18173332    0    0     0    36  299  234  0  0 100  0  0
 1  0      0 10574780 136348 18187260    0    0     0   816 1377 1048  6  2 91  0  0
 1  0      0 10545556 136348 18200980    0    0     0     0  785  393  6  2 91  0  0
 1  0      0 10518844 136348 18213780    0    0     0     0  695  303  7  2 91  0  0
 1  0      0 10493140 136348 18226076    0    0     0     0  678  312  6  2 91  0  0
 4  0      0 10446520 136352 18256532    0    0     0  4320  903  359  8  3 89  0  0
 1  0      0 10528656 136364 18223516    0    0     0 30992 1435  606  8  3 88  1  0
 1  0      0 10496492 136364 18236548    0    0  2838     0 2424 2066  7  3 90  0  0
 1  0      0 10469784 136364 18249612    0    0   495     0 1040  698  7  2 91  0  0
 1  0      0 10443576 136364 18261904    0    0     0     0  682  287  7  2 91  0  0
 1  0      0 10454044 136368 18245964    0    0     0 30960 1172  505 10  3 87  1  0
 1  0      0 10440792 136368 18258896    0    0     0     0  727  313  6  2 91  0  0
 1  0      0 10427444 136368 18272076    0    0     0     0  717  303  6  2 91  0  0
 1  0      0 10413612 136368 18285144    0    0     0     0  751  322  6  2 91  0  0
 1  0      0 10400760 136368 18297788    0    0     0     0  743  286  7  2 91  0  0
 1  0      0 10411336 136380 18281368    0    0     0 30968 1360  548 10  3 86  1  0
 1  0      0 10397480 136380 18295100    0    0     0     0  806  374  7  2 91  0  0
 1  0      0 10384628 136380 18307792    0    0     0     0  776  304  7  2 91  0  0
 1  0      0 10372028 136380 18320560    0    0     0     0  751  299  7  2 91  0  0
 2  0      0 10350860 136384 18341256    0    0     0     0  825  335  7  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 10333208 136400 18369204    0    0     0 30972 1602  603 17  5 78  1  0
 1  0      0 10378428 136404 18318208    0    0     0 114016 1783  928 14  5 79  2  0
 1  0      0 10364068 136404 18331696    0    0     0     0  720  297  7  2 91  0  0
 1  0      0 10352224 136404 18344276    0    0     0    52 1719 1263  7  2 91  0  0
 2  0      0 10316692 136408 18378932    0    0     0     0 1347  769  9  3 88  0  0
 1  0      0 10349940 136424 18340112    0    0     0 31000 1317  526  7  3 89  1  0
 1  0      0 10335328 136424 18353780    0    0     0     0  749  321  6  2 91  0  0
 1  0      0 10321976 136424 18366632    0    0     0     0  737  304  7  2 91  0  0
