procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 16776924 129832 12036104    0    0    35  2109  169  112 12  3 84  1  1
 3  0      0 16776172 129832 12036108    0    0     0     0  470  359  0  0 100  0  0
 1  0      0 16744456 129868 12049912    0    0     0   784 2364 1666  7  4 89  0  0
 1  0      0 16716744 129868 12062840    0    0     0    40 1217  746  7  2 91  0  0
 1  0      0 16690536 129868 12075632    0    0     0     0  741  336  6  2 91  0  0
 1  0      0 16664588 129868 12087984    0    0     0     0  801  396  7  2 91  0  0
 3  0      0 16628552 129868 12111804    0    0     0     0  825  364  8  2 90  0  0
 1  0      0 16704892 129872 12084108    0    0     0 31000 1675  741  9  3 88  1  0
 1  0      0 16674660 129872 12097128    0    0     0     0 1337  686  7  4 90  0  0
 1  0      0 16648960 129872 12109796    0    0     0     0  851  411  7  2 91  0  0
 1  0      0 16622508 129872 12122576    0    0     0     0  772  332  7  2 91  0  0
 2  0      0 16569088 129872 12165180    0    0     0     0  885  352 10  2 88  0  0
 1  0      0 16615692 129872 12119720    0    0     0 30964 1265  598  6  3 90  1  0
 1  0      0 16602592 129872 12133012    0    0     0     0 1236  603  7  3 90  0  0
 1  0      0 16589500 129872 12146364    0    0     0     0  824  390  6  2 91  0  0
 1  0      0 16576396 129872 12158984    0    0     0     0  839  341  6  2 91  0  0
 1  0      0 16587720 129876 12142732    0    0     0 30964 1424  582  9  3 87  1  0
 1  0      0 16573864 129876 12156328    0    0     0     0  799  385  6  3 91  0  0
 1  0      0 16560232 129876 12169456    0    0     0     0 1179  528  7  3 90  0  0
 1  0      0 16546656 129876 12182836    0    0     0     0  853  390  7  2 91  0  0
 2  0      0 16521716 129876 12207020    0    0     0     0  800  337  8  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 16501288 129892 12238772    0    0     0 30968 1754  615 17  5 78  1  0
 1  0      0 16554808 129916 12181952    0    0     0 114004 2762 1020 14  4 80  2  0
 2  0      0 16538684 129916 12194888    0    0     0     0  979  466  7  2 91  0  0
 1  0      0 16526380 129916 12207772    0    0     0     0 1271  564  7  3 90  0  0
 1  1      0 16474468 129916 12253952    0    0     0  7224 1077  411 10  3 87  0  0
 1  0      0 16521828 129924 12204924    0    0     0 23748 1225  537  7  2 91  0  0
 1  0      0 16507976 129924 12218260    0    0     0     0  805  369  7  2 91  0  0
 1  0      0 16495124 129924 12231340    0    0     0     0  800  352  6  2 91  0  0
 1  0      0 16480016 129924 12244476    0    0     0     0 1270  602  7  3 90  0  0
 1  0      0 16505860 129932 12228016    0    0  3333 30956 3000 2139 10  4 86  1  0
 1  0      0 16491752 129932 12242004    0    0     0     0  863  409  6  2 91  0  0
 1  0      0 16477896 129932 12255372    0    0     0     0  900  429  6  2 91  0  0
 1  0      0 16465548 129932 12268432    0    0     0     0  849  395  6  2 91  0  0
 2  0      0 16432304 129932 12301188    0    0     0   208 1421  642  9  4 87  0  0
 1  0      0 16462780 129936 12265188    0    0     0 30992 1641  711  9  3 87  1  0
 1  0      0 16447920 129936 12278848    0    0     0   124 2127 1589  7  2 91  0  0
 1  0      0 16434060 129936 12292460    0    0     0     0  976  528  7  2 91  0  0
 1  0      0 16421212 129936 12305000    0    0     0     0  828  352  7  2 91  0  0
 5  0      0 16427500 129936 12312928    0    0     0 30964 2046  924 13  5 81  1  0
 4  0      0 16230940 129940 12503704    0    0     0 36176 2315  751 32  7 60  1  0
 1  0      0 16431216 129952 12301596    0    0     0 187592 3829 1900 10  4 80  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 16417112 129952 12314464    0    0     0     0  810  378  7  2 91  0  0
 1  0      0 16403504 129952 12327268    0    0     0     0  763  350  6  2 91  0  0
 1  0      0 16413164 129952 12310508    0    0     0 31000 1731  770 10  4 85  1  0
 1  0      0 16398460 129952 12324172    0    0     0     0  836  428  6  2 91  0  0
 1  0      0 16384856 129952 12337600    0    0     0     0  840  400  7  2 91  0  0
 1  0      0 16371508 129952 12350424    0    0     0     0  770  369  6  2 91  0  0
 2  0      0 16328668 129952 12392552    0    0     0     0  863  343  9  3 88  0  0
 1  0      0 16381076 129956 12348388    0    0     0 30964 1731  771  7  4 89  1  0
 1  0      0 16367724 129956 12361756    0    0     0     0  854  418  7  2 91  0  0
 1  0      0 16353364 129956 12375000    0    0     0     0  763  335  7  2 91  0  0
 1  0      0 16340260 129956 12387940    0    0     0     0  854  448  7  2 91  0  0
 1  0      0 16350324 129960 12371300    0    0     0 30976 1516  597 10  3 86  1  0
 2  0      0 16336212 129960 12384940    0    0     0     0  932  420  6  3 91  0  0
 1  0      0 16324128 129960 12397996    0    0     0     0 1096  522  6  3 90  0  0
 1  0      0 16310520 129960 12411020    0    0     0     0  733  317  7  2 91  0  0
 2  0      0 16288852 129960 12433708    0    0     0     0  853  402  8  2 90  0  0
 6  0      0 16190812 129968 12548988    0    0     0 46728 2486  699 32  6 60  1  0
 2  5      0 15973336 129968 12756440    0    0     0 146384 3572 1402 36  7 50  7  0
 1  0      0 16316476 129992 12413204    0    0     0 167628 4920 2720  6  4 80  9  1
 1  0      0 16303124 129992 12426120    0    0     0     0  772  389  7  2 91  0  0
 2  0      0 16273392 129992 12454560    0    0     0     0  912  424  8  3 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 16298584 130004 12422624    0    0     0 30968 1312  568  8  3 88  1  0
 1  0      0 16284724 130004 12435868    0    0     0     0  749  308  7  2 91  0  0
 1  0      0 16267844 130004 12448508    0    0     0    28 1152  619  7  3 90  0  0
 1  0      0 16255748 130004 12461288    0    0     0     0  810  328  7  2 91  0  0
 2  0      0 16265952 130016 12455196    0    0     0 30996 1334  600  9  3 87  1  0
 1  0      0 16268084 130016 12459036    0    0     0     0  771  319  7  2 91  0  0
 1  0      0 16254980 130016 12472388    0    0     0     0  808  349  7  2 91  0  0
 1  0      0 16243640 130016 12485376    0    0     0   224 1158  595  7  3 90  0  0
 1  0      0 16228860 130016 12499044    0    0     0     0  799  399  7  2 91  0  0
 1  0      0 16239428 130036 12482384    0    0     0 30992 1495  616 10  3 87  0  0
 1  0      0 16225996 130036 12495948    0    0     0     0  827  386  6  2 91  0  0
 1  0      0 16212644 130036 12509432    0    0     0     0  767  323  7  2 91  0  0
 1  0      0 16197024 130036 12522168    0    0     0     4 1150  640  7  4 90  0  0
 2  0      0 16156204 130036 12562552    0    0     0     0  897  372  9  3 88  0  0
 4  0      0 16095208 130040 12638180    0    0     0 33736 2150  740 25  6 68  1  0
 1  0      0 16203928 130052 12529204    0    0     0 196392 4534 1809 18  5 72  4  1
 1  0      0 16190284 130052 12542440    0    0     0     0  785  361  7  2 91  0  0
 1  0      0 16179960 130052 12555328    0    0     0     0 1072  469  7  3 90  0  0
 1  0      0 16189776 130064 12539168    0    0     0 30992 1654  676  9  3 87  1  0
 1  0      0 16175164 130064 12553028    0    0     0     0  796  369  7  2 91  0  0
 1  0      0 16161056 130064 12565972    0    0     0     0  760  342  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 16147700 130064 12579800    0    0     0     0  951  495  7  2 91  0  0
 3  0      0 16115448 130064 12602168    0    0     0     0 1224  687  8  3 88  0  0
 1  0      0 16149716 130072 12575600    0    0     0 30980 1534  649  9  3 88  1  0
 1  0      0 16135856 130072 12589016    0    0     0     0  780  388  6  2 91  0  0
 1  0      0 16123256 130072 12601996    0    0     0     0  782  316  6  2 91  0  0
 1  0      0 16109396 130072 12615432    0    0     0     0  729  324  7  2 91  0  0
 3  0      0 16057684 130072 12658564    0    0  3333     0 2632 2116 10  3 86  0  0
 1  0      0 16101532 130088 12612016    0    0     0 30972 1237  539  7  2 90  1  0
 1  0      0 16088176 130088 12625132    0    0     0     0  805  353  6  3 91  0  0
 1  0      0 16074324 130088 12638152    0    0     0     0  819  367  7  2 91  0  0
 1  0      0 16061724 130088 12651496    0    0     0     0  734  292  7  2 91  0  0
 6  0      0 16032988 130088 12695884    0    0     0 31004 2004  660 19  5 75  1  0
 5  1      0 15784840 130096 12936668    0    0     0 131620 3625 1034 40  8 50  2  0
 1  0      0 16073940 130108 12654036    0    0     0 183520 4316 2182 10  4 80  6  1
 1  0      0 16060836 130108 12667296    0    0     0     0  733  325  7  2 91  0  0
 2  0      0 16038408 130108 12689844    0    0     0     0  800  331  7  3 90  0  0
 1  0      0 16056796 130112 12664184    0    0     0 31116 1424  549  9  3 88  1  0
 1  0      0 16043188 130112 12677500    0    0     0     0  781  361  7  2 91  0  0
 1  0      0 16029584 130112 12690588    0    0     0     0  779  355  6  2 91  0  0
 1  0      0 16016484 130112 12703576    0    0     0     0  761  349  6  2 91  0  0
 1  0      0 16040028 130112 12687620    0    0     0 30992 1401  547 10  2 87  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 16025792 130112 12701544    0    0     0   320  932  393  7  2 91  0  0
 1  0      0 16011684 130112 12714992    0    0     0     0  775  327  6  2 91  0  0
 1  0      0 15997824 130112 12728564    0    0     0     0  767  349  7  2 91  0  0
 2  0      0 15981696 130112 12744336    0    0     0     0  733  320  7  2 91  0  0
 1  0      0 15992776 130116 12725520    0    0     0 30976 1432  569 10  2 87  1  0
 1  0      0 15979420 130116 12738680    0    0     0     0  670  282  7  2 91  0  0
 1  0      0 15966316 130116 12751536    0    0     0     0  726  304  7  2 91  0  0
 3  0      0 15953464 130116 12764148    0    0     0     0  673  272  7  2 91  0  0
 2  0      0 15920204 130116 12798404    0    0     0     0  864  361  9  3 89  0  0
 6  0      0 15782852 130116 12946396    0    0     0 30976 2328  573 34  8 57  0  0
 2  0      0 15955236 130124 12767724    0    0     0 299020 6464 2810 22  6 62  8  1
