Subcompactions,Throughput_MBps,CPU_Usage_Percent,Memory_GB,Compaction_Time_Sec,IO_Read_MBps,IO_Write_MBps,System_Load_Average
1,,28.3,0.691491,662,0,0,1.367
2,,51.2,1.06101,628,0,0,2.017
4,,89,0.732119,681,0,0,3.025
8,,99.125,0.743643,716,0,0,3.152
12,,92.5,0.785054,735,0,0,4.126
16,,98.375,0.720595,740,0,0,4.614
24,,95,0.752675,722,0,0,5.426
32,,94,0.826206,676,0,0,4.768
